Year,Country,Inflation
2000,Aruba,4.044021312
2001,Aruba,2.883604303
2002,Aruba,3.315246786
2003,Aruba,3.656365079
2004,Aruba,2.529129469
2005,Aruba,3.397786778
2006,Aruba,3.608024388
2007,Aruba,5.392567845
2008,Aruba,8.955987052
2009,Aruba,-2.13542872
2010,Aruba,2.078140719
2011,Aruba,4.316297422
2012,Aruba,0.627471993
2013,Aruba,-2.372065243
2014,Aruba,0.421440919
2015,Aruba,0.474763597
2016,Aruba,-0.931195987
2017,Aruba,-1.028281788
2018,Aruba,3.626041414
2019,Aruba,4.257462043
2020,Aruba,0
2021,Aruba,0
2000,Andorra,0
2001,Andorra,0
2002,Andorra,0
2003,Andorra,0
2004,Andorra,0
2005,Andorra,0
2006,Andorra,0
2007,Andorra,0
2008,Andorra,0
2009,Andorra,0
2010,Andorra,0
2011,Andorra,0
2012,Andorra,0
2013,Andorra,0
2014,Andorra,0
2015,Andorra,0
2016,Andorra,0
2017,Andorra,0
2018,Andorra,0
2019,Andorra,0
2020,Andorra,0
2021,Andorra,0
2000,Armenia,-0.790883769
2001,Armenia,3.145904647
2002,Armenia,1.060049293
2003,Armenia,4.721553366
2004,Armenia,6.961261359
2005,Armenia,0.638928002
2006,Armenia,2.892356625
2007,Armenia,4.407360896
2008,Armenia,8.949953354
2009,Armenia,3.406766827
2010,Armenia,8.176361385
2011,Armenia,7.650008079
2012,Armenia,2.558020078
2013,Armenia,5.789667785
2014,Armenia,2.981308689
2015,Armenia,3.731691193
2016,Armenia,-1.403607559
2017,Armenia,0.969553269
2018,Armenia,2.52023382
2019,Armenia,1.443446608
2020,Armenia,1.211435778
2021,Armenia,7.184836294
2000,Austria,2.344862854
2001,Austria,2.650000773
2002,Austria,1.810357878
2003,Austria,1.355553709
2004,Austria,2.06120618
2005,Austria,2.299137856
2006,Austria,1.441548511
2007,Austria,2.168555288
2008,Austria,3.215950332
2009,Austria,0.506308828
2010,Austria,1.81353439
2011,Austria,3.286579149
2012,Austria,2.485675622
2013,Austria,2.000156169
2014,Austria,1.60581183
2015,Austria,0.896563335
2016,Austria,0.891591753
2017,Austria,2.081269114
2018,Austria,1.998379814
2019,Austria,1.530895642
2020,Austria,1.381910634
2021,Austria,2.766666667
2000,Azerbaijan,1.805003037
2001,Azerbaijan,1.547195902
2002,Azerbaijan,2.77116472
2003,Azerbaijan,2.23386493
2004,Azerbaijan,6.708930428
2005,Azerbaijan,9.679507319
2006,Azerbaijan,8.328924829
2007,Azerbaijan,16.69975496
2008,Azerbaijan,20.84908718
2009,Azerbaijan,1.45704836
2010,Azerbaijan,5.726872247
2011,Azerbaijan,7.858333333
