Country,Value,TIME
Austria,0.274,2019
Belguim,0.262,2019
Czech Republic,0.248,2019
Denmark,0.268,2019
Finland,0.273,2019
France,0.292,2019
Germany,0.296,2019
Greece,0.308,2019
Hungary,0.286,2019
Israel,0.25,2017
Ireland,0.292,2018
Italy,0.33,2018
Luxembourg,0.305,2019
Netherlands,0.312,2019
Norway,0.261,2019
Poland,0.281,2018
Portugal,0.31,2019
Slovakia,0.222,2019
Spain,0.32,2019
Sweden,0.277,2019
Switzerland,0.316,2019
Turkey,0.415,2019
United Kingdom,0.366,2019
Estonia,0.305,2019
Israel,0.342,2019
Slovenia,0.246,2019
Russia,0.317,2017
Latvia,0.344,2019
Lituania,0.357,2019
Bulgaria,0.402,2019
Romania,0.339,2019
Azerbaijan,,2019
Albania,,2019
Armenia,,2019
Bosnia and Herzegovina,,2019
Cyprus,,2019
Georgia,,2019
Croatia,,2019
Iceland,,2019
Belarus,,2019
Liechtenstein,,2019
The former Yugoslav Republic of Macedonia,,2019
Malta,,2019
Faroe Islands,,2019
Andorra,,2019
Monaco,,2019
Montenegro,,2019
Republic of Moldova,,2019
Ukraine,,2019
San Marino,,2019
Serbia,,2019
Holy See (Vatican City),,2019
