Country,Value,TIME
Austria,0.274,2019
Belguim,0.262,2019
Czech Republic,0.248,2019
Denmark,0.268,2019
Finland,0.273,2019
France,0.292,2019
Germany,0.296,2019
Greece,0.308,2019
Hungary,0.286,2019
Israel,0.25,2017
Ireland,0.292,2018
Italy,0.33,2018
Luxembourg,0.305,2019
Netherlands,0.312,2019
Norway,0.261,2019
Poland,0.281,2018
Portugal,0.31,2019
Slovakia,0.222,2019
Spain,0.32,2019
Sweden,0.277,2019
Switzerland,0.316,2019
Turkey,0.415,2019
United Kingdom,0.366,2019
Estonia,0.305,2019
Israel,0.342,2019
Slovenia,0.246,2019
Russia,0.317,2017
Latvia,0.344,2019
Lituania,0.357,2019
Bulgaria,0.402,2019
Romania,0.339,2019
Azerbaijan,0,2019
Albania,0,2019
Armenia,0,2019
Bosnia and Herzegovina,0,2019
Cyprus,0,2019
Georgia,0,2019
Croatia,0,2019
Iceland,0,2019
Belarus,0,2019
Liechtenstein,0,2019
The former Yugoslav Republic of Macedonia,0,2019
Malta,0,2019
Faroe Islands,0,2019
Andorra,0,2019
Monaco,0,2019
Montenegro,0,2019
Republic of Moldova,0,2019
Ukraine,0,2019
San Marino,0,2019
Serbia,0,2019
Holy See (Vatican City),0,2019
