,date,date1,Borough,code,Retail
0,2022-10-15,44849,Kingston upon Thames,E09000021,-20
1,2022-10-15,44849,Hammersmith and Fulham,E09000013,-30
2,2022-10-15,44849,Hackney,E09000012,-24
3,2022-10-15,44849,Barking and Dagenham,E09000002,-17
4,2022-10-15,44849,Tower Hamlets,E09000030,-13
5,2022-10-15,44849,Lewisham,E09000023,-8
6,2022-10-15,44849,Islington,E09000019,-31
7,2022-10-15,44849,Bexley,E09000004,-17
8,2022-10-15,44849,Wandsworth,E09000032,-26
9,2022-10-15,44849,Haringey,E09000014,0
10,2022-10-15,44849,Enfield,E09000010,-21
11,2022-10-15,44849,Sutton,E09000029,-17
12,2022-10-15,44849,Merton,E09000024,-24
13,2022-10-15,44849,Havering,E09000016,-13
14,2022-10-15,44849,Brent,E09000005,-11
15,2022-10-15,44849,Hounslow,E09000018,-9
16,2022-10-15,44849,Camden,E09000007,-21
17,2022-10-15,44849,Greenwich,E09000011,-5
18,2022-10-15,44849,Harrow,E09000015,-13
19,2022-10-15,44849,Ealing,E09000009,-11
20,2022-10-15,44849,Southwark,E09000028,-22
21,2022-10-15,44849,Newham,E09000025,-22
22,2022-10-15,44849,Kensington and Chelsea,E09000020,-25
23,2022-10-15,44849,City of London,E09000001,-10
24,2022-10-15,44849,Bromley,E09000006,-17
25,2022-10-15,44849,Hillingdon,E09000017,-10
26,2022-10-15,44849,Redbridge,E09000026,-18
27,2022-10-15,44849,Croydon,E09000008,-20
28,2022-10-15,44849,Richmond upon Thames,E09000027,-23
29,2022-10-15,44849,Barnet,E09000003,-16
30,2022-10-15,44849,Westminster,E09000033,-24
31,2022-10-15,44849,Waltham Forest,E09000031,-13
32,2022-10-15,44849,Lambeth,E09000022,-23
33,2022-10-14,44848,Westminster,E09000033,-37
34,2022-10-14,44848,Newham,E09000025,-18
35,2022-10-14,44848,Southwark,E09000028,-28
36,2022-10-14,44848,Ealing,E09000009,-10
37,2022-10-14,44848,Harrow,E09000015,-14
38,2022-10-14,44848,Barking and Dagenham,E09000002,-15
39,2022-10-14,44848,Wandsworth,E09000032,-26
40,2022-10-14,44848,Hounslow,E09000018,0
41,2022-10-14,44848,Camden,E09000007,-30
42,2022-10-14,44848,Brent,E09000005,-15
43,2022-10-14,44848,Tower Hamlets,E09000030,-25
44,2022-10-14,44848,Greenwich,E09000011,-6
45,2022-10-14,44848,City of London,E09000001,-57
46,2022-10-14,44848,Lewisham,E09000023,-4
47,2022-10-14,44848,Islington,E09000019,-41
48,2022-10-14,44848,Merton,E09000024,-26
49,2022-10-14,44848,Sutton,E09000029,-17
50,2022-10-14,44848,Lambeth,E09000022,-23
51,2022-10-14,44848,Enfield,E09000010,-21
52,2022-10-14,44848,Haringey,E09000014,-20
53,2022-10-14,44848,Waltham Forest,E09000031,-13
54,2022-10-14,44848,Bexley,E09000004,-21
55,2022-10-14,44848,Kensington and Chelsea,E09000020,-29
56,2022-10-14,44848,Havering,E09000016,-14
57,2022-10-14,44848,Barnet,E09000003,-19
58,2022-10-14,44848,Redbridge,E09000026,-17
59,2022-10-14,44848,Hillingdon,E09000017,-12
60,2022-10-14,44848,Bromley,E09000006,-15
61,2022-10-14,44848,Kingston upon Thames,E09000021,-23
62,2022-10-14,44848,Richmond upon Thames,E09000027,-23
63,2022-10-14,44848,Croydon,E09000008,-20
64,2022-10-14,44848,Hammersmith and Fulham,E09000013,-33
65,2022-10-14,44848,Hackney,E09000012,-25
66,2022-10-13,44847,Westminster,E09000033,-28
67,2022-10-13,44847,Lambeth,E09000022,-19
68,2022-10-13,44847,Barnet,E09000003,-18
69,2022-10-13,44847,Hammersmith and Fulham,E09000013,-31
70,2022-10-13,44847,Hackney,E09000012,-23
71,2022-10-13,44847,Greenwich,E09000011,-14
72,2022-10-13,44847,Lewisham,E09000023,-7
73,2022-10-13,44847,City of London,E09000001,-40
74,2022-10-13,44847,Merton,E09000024,-25
75,2022-10-13,44847,Croydon,E09000008,-17
76,2022-10-13,44847,Islington,E09000019,-35
77,2022-10-13,44847,Tower Hamlets,E09000030,-15
78,2022-10-13,44847,Sutton,E09000029,-16
79,2022-10-13,44847,Enfield,E09000010,-21
80,2022-10-13,44847,Richmond upon Thames,E09000027,-24
81,2022-10-13,44847,Waltham Forest,E09000031,-13
82,2022-10-13,44847,Haringey,E09000014,-23
83,2022-10-13,44847,Havering,E09000016,-13
84,2022-10-13,44847,Bexley,E09000004,-20
85,2022-10-13,44847,Brent,E09000005,-10
86,2022-10-13,44847,Barking and Dagenham,E09000002,-15
87,2022-10-13,44847,Kingston upon Thames,E09000021,-21
88,2022-10-13,44847,Harrow,E09000015,-11
89,2022-10-13,44847,Kensington and Chelsea,E09000020,-25
90,2022-10-13,44847,Bromley,E09000006,-15
91,2022-10-13,44847,Newham,E09000025,-2
92,2022-10-13,44847,Southwark,E09000028,-24
93,2022-10-13,44847,Wandsworth,E09000032,-28
94,2022-10-13,44847,Hillingdon,E09000017,-10
95,2022-10-13,44847,Ealing,E09000009,-8
96,2022-10-13,44847,Redbridge,E09000026,-15
97,2022-10-13,44847,Camden,E09000007,-27
98,2022-10-13,44847,Hounslow,E09000018,-12
99,2022-10-12,44846,Harrow,E09000015,-10
100,2022-10-12,44846,Enfield,E09000010,-23
101,2022-10-12,44846,Kensington and Chelsea,E09000020,-24
102,2022-10-12,44846,Haringey,E09000014,5
103,2022-10-12,44846,Bromley,E09000006,-15
104,2022-10-12,44846,Havering,E09000016,-13
105,2022-10-12,44846,City of London,E09000001,-40
106,2022-10-12,44846,Richmond upon Thames,E09000027,-25
107,2022-10-12,44846,Westminster,E09000033,-28
108,2022-10-12,44846,Newham,E09000025,-15
109,2022-10-12,44846,Southwark,E09000028,-25
110,2022-10-12,44846,Hounslow,E09000018,-12
111,2022-10-12,44846,Camden,E09000007,-27
112,2022-10-12,44846,Ealing,E09000009,-5
113,2022-10-12,44846,Sutton,E09000029,-15
114,2022-10-12,44846,Merton,E09000024,-25
115,2022-10-12,44846,Redbridge,E09000026,-19
116,2022-10-12,44846,Croydon,E09000008,-17
117,2022-10-12,44846,Lambeth,E09000022,-20
118,2022-10-12,44846,Hillingdon,E09000017,-10
119,2022-10-12,44846,Greenwich,E09000011,-19
120,2022-10-12,44846,Kingston upon Thames,E09000021,-26
121,2022-10-12,44846,Brent,E09000005,-14
122,2022-10-12,44846,Hammersmith and Fulham,E09000013,-25
123,2022-10-12,44846,Tower Hamlets,E09000030,-16
124,2022-10-12,44846,Bexley,E09000004,-21
125,2022-10-12,44846,Hackney,E09000012,-24
126,2022-10-12,44846,Waltham Forest,E09000031,-15
127,2022-10-12,44846,Lewisham,E09000023,-4
128,2022-10-12,44846,Barnet,E09000003,-18
129,2022-10-12,44846,Wandsworth,E09000032,-27
130,2022-10-12,44846,Barking and Dagenham,E09000002,-18
131,2022-10-12,44846,Islington,E09000019,-35
132,2022-10-11,44845,Barking and Dagenham,E09000002,-16
133,2022-10-11,44845,Merton,E09000024,-24
134,2022-10-11,44845,Lewisham,E09000023,-4
135,2022-10-11,44845,City of London,E09000001,-41
136,2022-10-11,44845,Hackney,E09000012,-28
137,2022-10-11,44845,Ealing,E09000009,-12
138,2022-10-11,44845,Kensington and Chelsea,E09000020,-24
139,2022-10-11,44845,Brent,E09000005,-13
140,2022-10-11,44845,Bromley,E09000006,-13
141,2022-10-11,44845,Sutton,E09000029,-16
142,2022-10-11,44845,Islington,E09000019,-36
143,2022-10-11,44845,Kingston upon Thames,E09000021,-24
144,2022-10-11,44845,Greenwich,E09000011,-3
145,2022-10-11,44845,Harrow,E09000015,-6
146,2022-10-11,44845,Southwark,E09000028,-24
147,2022-10-11,44845,Newham,E09000025,-9
148,2022-10-11,44845,Enfield,E09000010,-19
149,2022-10-11,44845,Barnet,E09000003,-21
150,2022-10-11,44845,Hillingdon,E09000017,-9
151,2022-10-11,44845,Hammersmith and Fulham,E09000013,-28
152,2022-10-11,44845,Havering,E09000016,-14
153,2022-10-11,44845,Lambeth,E09000022,-19
154,2022-10-11,44845,Tower Hamlets,E09000030,-16
155,2022-10-11,44845,Richmond upon Thames,E09000027,-25
156,2022-10-11,44845,Croydon,E09000008,-15
157,2022-10-11,44845,Camden,E09000007,-25
158,2022-10-11,44845,Wandsworth,E09000032,-27
159,2022-10-11,44845,Haringey,E09000014,-23
160,2022-10-11,44845,Bexley,E09000004,-22
161,2022-10-11,44845,Westminster,E09000033,-28
162,2022-10-11,44845,Redbridge,E09000026,-14
163,2022-10-11,44845,Waltham Forest,E09000031,-16
164,2022-10-11,44845,Hounslow,E09000018,-9
165,2022-10-10,44844,Harrow,E09000015,-5
166,2022-10-10,44844,Lambeth,E09000022,-24
167,2022-10-10,44844,Camden,E09000007,-28
168,2022-10-10,44844,Sutton,E09000029,-18
169,2022-10-10,44844,Barking and Dagenham,E09000002,-17
170,2022-10-10,44844,Hounslow,E09000018,-5
171,2022-10-10,44844,Tower Hamlets,E09000030,-19
172,2022-10-10,44844,Wandsworth,E09000032,-28
173,2022-10-10,44844,Waltham Forest,E09000031,-15
174,2022-10-10,44844,Havering,E09000016,-14
175,2022-10-10,44844,Richmond upon Thames,E09000027,-26
176,2022-10-10,44844,Croydon,E09000008,-17
177,2022-10-10,44844,Barnet,E09000003,-23
178,2022-10-10,44844,Hammersmith and Fulham,E09000013,-30
179,2022-10-10,44844,Redbridge,E09000026,-14
180,2022-10-10,44844,Hillingdon,E09000017,-9
181,2022-10-10,44844,Ealing,E09000009,-15
182,2022-10-10,44844,Kingston upon Thames,E09000021,-18
183,2022-10-10,44844,City of London,E09000001,-50
184,2022-10-10,44844,Hackney,E09000012,-31
185,2022-10-10,44844,Bromley,E09000006,-18
186,2022-10-10,44844,Newham,E09000025,-11
187,2022-10-10,44844,Southwark,E09000028,-26
188,2022-10-10,44844,Kensington and Chelsea,E09000020,-25
189,2022-10-10,44844,Brent,E09000005,-13
190,2022-10-10,44844,Enfield,E09000010,-20
191,2022-10-10,44844,Islington,E09000019,-40
192,2022-10-10,44844,Westminster,E09000033,-28
193,2022-10-10,44844,Merton,E09000024,-24
194,2022-10-10,44844,Lewisham,E09000023,-4
195,2022-10-10,44844,Greenwich,E09000011,5
196,2022-10-10,44844,Haringey,E09000014,-21
197,2022-10-10,44844,Bexley,E09000004,-22
198,2022-10-09,44843,Hackney,E09000012,-22
199,2022-10-09,44843,Southwark,E09000028,-21
200,2022-10-09,44843,Barking and Dagenham,E09000002,-17
201,2022-10-09,44843,Lewisham,E09000023,-5
202,2022-10-09,44843,Hounslow,E09000018,-2
203,2022-10-09,44843,City of London,E09000001,-18
204,2022-10-09,44843,Hammersmith and Fulham,E09000013,-31
205,2022-10-09,44843,Kingston upon Thames,E09000021,-17
206,2022-10-09,44843,Enfield,E09000010,-24
207,2022-10-09,44843,Camden,E09000007,-18
208,2022-10-09,44843,Harrow,E09000015,-11
209,2022-10-09,44843,Greenwich,E09000011,1
210,2022-10-09,44843,Islington,E09000019,4
211,2022-10-09,44843,Tower Hamlets,E09000030,-13
212,2022-10-09,44843,Bromley,E09000006,-14
213,2022-10-09,44843,Newham,E09000025,3
214,2022-10-09,44843,Merton,E09000024,-21
215,2022-10-09,44843,Wandsworth,E09000032,-21
216,2022-10-09,44843,Kensington and Chelsea,E09000020,-29
217,2022-10-09,44843,Ealing,E09000009,-13
218,2022-10-09,44843,Haringey,E09000014,23
219,2022-10-09,44843,Hillingdon,E09000017,-8
220,2022-10-09,44843,Sutton,E09000029,-22
221,2022-10-09,44843,Havering,E09000016,-13
222,2022-10-09,44843,Barnet,E09000003,-18
223,2022-10-09,44843,Waltham Forest,E09000031,-12
224,2022-10-09,44843,Lambeth,E09000022,-21
225,2022-10-09,44843,Brent,E09000005,-11
226,2022-10-09,44843,Bexley,E09000004,-21
227,2022-10-09,44843,Croydon,E09000008,-6
228,2022-10-09,44843,Redbridge,E09000026,-16
229,2022-10-09,44843,Westminster,E09000033,-19
230,2022-10-09,44843,Richmond upon Thames,E09000027,-22
231,2022-10-08,44842,Merton,E09000024,-21
232,2022-10-08,44842,Barnet,E09000003,-15
233,2022-10-08,44842,Havering,E09000016,-13
234,2022-10-08,44842,Newham,E09000025,-20
235,2022-10-08,44842,Wandsworth,E09000032,-27
236,2022-10-08,44842,Tower Hamlets,E09000030,-12
237,2022-10-08,44842,Croydon,E09000008,-17
238,2022-10-08,44842,Waltham Forest,E09000031,-15
239,2022-10-08,44842,Haringey,E09000014,-18
240,2022-10-08,44842,Kensington and Chelsea,E09000020,-27
241,2022-10-08,44842,Southwark,E09000028,-21
242,2022-10-08,44842,Islington,E09000019,-32
243,2022-10-08,44842,Hackney,E09000012,-23
244,2022-10-08,44842,Redbridge,E09000026,-15
245,2022-10-08,44842,Kingston upon Thames,E09000021,-15
246,2022-10-08,44842,Enfield,E09000010,-20
247,2022-10-08,44842,Bexley,E09000004,-19
248,2022-10-08,44842,City of London,E09000001,-28
249,2022-10-08,44842,Hillingdon,E09000017,-7
250,2022-10-08,44842,Ealing,E09000009,-15
251,2022-10-08,44842,Bromley,E09000006,-12
252,2022-10-08,44842,Hammersmith and Fulham,E09000013,-24
253,2022-10-08,44842,Richmond upon Thames,E09000027,-19
254,2022-10-08,44842,Westminster,E09000033,-27
255,2022-10-08,44842,Harrow,E09000015,-8
256,2022-10-08,44842,Hounslow,E09000018,-7
257,2022-10-08,44842,Lewisham,E09000023,0
258,2022-10-08,44842,Barking and Dagenham,E09000002,-17
259,2022-10-08,44842,Greenwich,E09000011,-13
260,2022-10-08,44842,Camden,E09000007,-24
261,2022-10-08,44842,Sutton,E09000029,-17
262,2022-10-08,44842,Lambeth,E09000022,-21
263,2022-10-08,44842,Brent,E09000005,-11
264,2022-10-07,44841,Haringey,E09000014,-20
265,2022-10-07,44841,Croydon,E09000008,-21
266,2022-10-07,44841,Brent,E09000005,23
267,2022-10-07,44841,Enfield,E09000010,-21
268,2022-10-07,44841,Hounslow,E09000018,-11
269,2022-10-07,44841,Tower Hamlets,E09000030,-24
270,2022-10-07,44841,City of London,E09000001,-54
271,2022-10-07,44841,Havering,E09000016,-13
272,2022-10-07,44841,Barnet,E09000003,-19
273,2022-10-07,44841,Camden,E09000007,-33
274,2022-10-07,44841,Waltham Forest,E09000031,-14
275,2022-10-07,44841,Westminster,E09000033,-37
276,2022-10-07,44841,Lewisham,E09000023,-3
277,2022-10-07,44841,Barking and Dagenham,E09000002,-17
278,2022-10-07,44841,Hillingdon,E09000017,-11
279,2022-10-07,44841,Bexley,E09000004,-20
280,2022-10-07,44841,Islington,E09000019,-39
281,2022-10-07,44841,Richmond upon Thames,E09000027,-25
282,2022-10-07,44841,Redbridge,E09000026,-14
283,2022-10-07,44841,Sutton,E09000029,-16
284,2022-10-07,44841,Hammersmith and Fulham,E09000013,-29
285,2022-10-07,44841,Ealing,E09000009,-17
286,2022-10-07,44841,Southwark,E09000028,-26
287,2022-10-07,44841,Bromley,E09000006,-15
288,2022-10-07,44841,Wandsworth,E09000032,-27
289,2022-10-07,44841,Greenwich,E09000011,-20
290,2022-10-07,44841,Harrow,E09000015,-13
291,2022-10-07,44841,Newham,E09000025,-17
292,2022-10-07,44841,Lambeth,E09000022,-25
293,2022-10-07,44841,Merton,E09000024,-26
294,2022-10-07,44841,Kensington and Chelsea,E09000020,-29
295,2022-10-07,44841,Hackney,E09000012,-26
296,2022-10-07,44841,Kingston upon Thames,E09000021,-22
297,2022-10-06,44840,Havering,E09000016,-11
298,2022-10-06,44840,Bromley,E09000006,-11
299,2022-10-06,44840,Barking and Dagenham,E09000002,-15
300,2022-10-06,44840,Hillingdon,E09000017,-7
301,2022-10-06,44840,Bexley,E09000004,-20
302,2022-10-06,44840,Barnet,E09000003,-16
303,2022-10-06,44840,Harrow,E09000015,-6
304,2022-10-06,44840,Richmond upon Thames,E09000027,-19
305,2022-10-06,44840,Westminster,E09000033,-30
306,2022-10-06,44840,Croydon,E09000008,-14
307,2022-10-06,44840,Wandsworth,E09000032,-26
308,2022-10-06,44840,Sutton,E09000029,-15
309,2022-10-06,44840,Newham,E09000025,-19
310,2022-10-06,44840,Lambeth,E09000022,-22
311,2022-10-06,44840,Haringey,E09000014,-17
312,2022-10-06,44840,Redbridge,E09000026,-11
313,2022-10-06,44840,Greenwich,E09000011,-12
314,2022-10-06,44840,Brent,E09000005,-11
315,2022-10-06,44840,Camden,E09000007,-27
316,2022-10-06,44840,Kensington and Chelsea,E09000020,-26
317,2022-10-06,44840,Kingston upon Thames,E09000021,-20
318,2022-10-06,44840,City of London,E09000001,-39
319,2022-10-06,44840,Tower Hamlets,E09000030,-17
320,2022-10-06,44840,Waltham Forest,E09000031,-13
321,2022-10-06,44840,Hounslow,E09000018,-9
322,2022-10-06,44840,Hackney,E09000012,-20
323,2022-10-06,44840,Enfield,E09000010,-20
324,2022-10-06,44840,Merton,E09000024,-22
325,2022-10-06,44840,Ealing,E09000009,-12
326,2022-10-06,44840,Southwark,E09000028,-21
327,2022-10-06,44840,Islington,E09000019,-11
328,2022-10-06,44840,Lewisham,E09000023,-2
329,2022-10-06,44840,Hammersmith and Fulham,E09000013,-28
330,2022-10-05,44839,Croydon,E09000008,-16
331,2022-10-05,44839,Barnet,E09000003,-23
332,2022-10-05,44839,Ealing,E09000009,-13
333,2022-10-05,44839,Lewisham,E09000023,-1
334,2022-10-05,44839,Hammersmith and Fulham,E09000013,-10
335,2022-10-05,44839,Haringey,E09000014,-27
336,2022-10-05,44839,Tower Hamlets,E09000030,-29
337,2022-10-05,44839,Westminster,E09000033,-41
338,2022-10-05,44839,Havering,E09000016,-12
339,2022-10-05,44839,Greenwich,E09000011,-17
340,2022-10-05,44839,Merton,E09000024,-24
341,2022-10-05,44839,Newham,E09000025,-21
342,2022-10-05,44839,Redbridge,E09000026,-15
343,2022-10-05,44839,Hounslow,E09000018,-12
344,2022-10-05,44839,Enfield,E09000010,-23
345,2022-10-05,44839,Kensington and Chelsea,E09000020,-28
346,2022-10-05,44839,City of London,E09000001,-62
347,2022-10-05,44839,Waltham Forest,E09000031,-14
348,2022-10-05,44839,Southwark,E09000028,-32
349,2022-10-05,44839,Islington,E09000019,-45
350,2022-10-05,44839,Bexley,E09000004,-19
351,2022-10-05,44839,Bromley,E09000006,-12
352,2022-10-05,44839,Hillingdon,E09000017,-5
353,2022-10-05,44839,Barking and Dagenham,E09000002,-18
354,2022-10-05,44839,Harrow,E09000015,-10
355,2022-10-05,44839,Hackney,E09000012,-33
356,2022-10-05,44839,Wandsworth,E09000032,-27
357,2022-10-05,44839,Sutton,E09000029,-17
358,2022-10-05,44839,Brent,E09000005,-15
359,2022-10-05,44839,Lambeth,E09000022,-27
360,2022-10-05,44839,Kingston upon Thames,E09000021,-25
361,2022-10-05,44839,Camden,E09000007,-40
362,2022-10-05,44839,Richmond upon Thames,E09000027,-28
363,2022-10-04,44838,Redbridge,E09000026,-11
364,2022-10-04,44838,Southwark,E09000028,-25
365,2022-10-04,44838,Haringey,E09000014,-22
366,2022-10-04,44838,Croydon,E09000008,-15
367,2022-10-04,44838,Westminster,E09000033,-31
368,2022-10-04,44838,Bromley,E09000006,-16
369,2022-10-04,44838,Islington,E09000019,-37
370,2022-10-04,44838,Tower Hamlets,E09000030,-17
371,2022-10-04,44838,Lewisham,E09000023,-6
372,2022-10-04,44838,Bexley,E09000004,-22
373,2022-10-04,44838,Greenwich,E09000011,-15
374,2022-10-04,44838,Havering,E09000016,-13
375,2022-10-04,44838,Hammersmith and Fulham,E09000013,-28
376,2022-10-04,44838,Hackney,E09000012,-28
377,2022-10-04,44838,Hillingdon,E09000017,-7
378,2022-10-04,44838,Wandsworth,E09000032,-28
379,2022-10-04,44838,Barking and Dagenham,E09000002,-15
380,2022-10-04,44838,Lambeth,E09000022,-26
381,2022-10-04,44838,Sutton,E09000029,-16
382,2022-10-04,44838,City of London,E09000001,-42
383,2022-10-04,44838,Barnet,E09000003,-17
384,2022-10-04,44838,Richmond upon Thames,E09000027,-29
385,2022-10-04,44838,Kingston upon Thames,E09000021,-24
386,2022-10-04,44838,Enfield,E09000010,-21
387,2022-10-04,44838,Merton,E09000024,-26
388,2022-10-04,44838,Camden,E09000007,-28
389,2022-10-04,44838,Harrow,E09000015,-7
390,2022-10-04,44838,Kensington and Chelsea,E09000020,-26
391,2022-10-04,44838,Hounslow,E09000018,-8
392,2022-10-04,44838,Newham,E09000025,-10
393,2022-10-04,44838,Waltham Forest,E09000031,-20
394,2022-10-04,44838,Ealing,E09000009,-14
395,2022-10-04,44838,Brent,E09000005,-8
396,2022-10-03,44837,Hammersmith and Fulham,E09000013,-27
397,2022-10-03,44837,Sutton,E09000029,-14
398,2022-10-03,44837,Enfield,E09000010,-17
399,2022-10-03,44837,Redbridge,E09000026,-9
400,2022-10-03,44837,Barking and Dagenham,E09000002,-10
401,2022-10-03,44837,Haringey,E09000014,-18
402,2022-10-03,44837,Merton,E09000024,-23
403,2022-10-03,44837,Bexley,E09000004,-21
404,2022-10-03,44837,Tower Hamlets,E09000030,-20
405,2022-10-03,44837,Kensington and Chelsea,E09000020,-27
406,2022-10-03,44837,Croydon,E09000008,-13
407,2022-10-03,44837,Barnet,E09000003,-16
408,2022-10-03,44837,Hillingdon,E09000017,-5
409,2022-10-03,44837,Havering,E09000016,-10
410,2022-10-03,44837,Richmond upon Thames,E09000027,-25
411,2022-10-03,44837,Brent,E09000005,-10
412,2022-10-03,44837,Hackney,E09000012,-28
413,2022-10-03,44837,Waltham Forest,E09000031,-13
414,2022-10-03,44837,Islington,E09000019,-39
415,2022-10-03,44837,City of London,E09000001,-50
416,2022-10-03,44837,Wandsworth,E09000032,-24
417,2022-10-03,44837,Hounslow,E09000018,-4
418,2022-10-03,44837,Lewisham,E09000023,-3
419,2022-10-03,44837,Newham,E09000025,-10
420,2022-10-03,44837,Harrow,E09000015,-3
421,2022-10-03,44837,Westminster,E09000033,-31
422,2022-10-03,44837,Bromley,E09000006,-15
423,2022-10-03,44837,Ealing,E09000009,-7
424,2022-10-03,44837,Greenwich,E09000011,-10
425,2022-10-03,44837,Camden,E09000007,-28
426,2022-10-03,44837,Lambeth,E09000022,-23
427,2022-10-03,44837,Kingston upon Thames,E09000021,-17
428,2022-10-03,44837,Southwark,E09000028,-24
429,2022-10-02,44836,Harrow,E09000015,-11
430,2022-10-02,44836,Enfield,E09000010,-21
431,2022-10-02,44836,Ealing,E09000009,-3
432,2022-10-02,44836,Hounslow,E09000018,-1
433,2022-10-02,44836,Kingston upon Thames,E09000021,-18
434,2022-10-02,44836,Barnet,E09000003,-15
435,2022-10-02,44836,Merton,E09000024,-21
436,2022-10-02,44836,Richmond upon Thames,E09000027,-17
437,2022-10-02,44836,Hackney,E09000012,-25
438,2022-10-02,44836,Camden,E09000007,-21
439,2022-10-02,44836,Kensington and Chelsea,E09000020,-27
440,2022-10-02,44836,Bromley,E09000006,-14
441,2022-10-02,44836,Redbridge,E09000026,-11
442,2022-10-02,44836,Waltham Forest,E09000031,-12
443,2022-10-02,44836,Brent,E09000005,-8
444,2022-10-02,44836,City of London,E09000001,-6
445,2022-10-02,44836,Barking and Dagenham,E09000002,-12
446,2022-10-02,44836,Southwark,E09000028,-18
447,2022-10-02,44836,Lambeth,E09000022,-20
448,2022-10-02,44836,Bexley,E09000004,-18
449,2022-10-02,44836,Greenwich,E09000011,-8
450,2022-10-02,44836,Tower Hamlets,E09000030,-1
451,2022-10-02,44836,Hammersmith and Fulham,E09000013,-23
452,2022-10-02,44836,Westminster,E09000033,-20
453,2022-10-02,44836,Newham,E09000025,-11
454,2022-10-02,44836,Hillingdon,E09000017,-2
455,2022-10-02,44836,Croydon,E09000008,-15
456,2022-10-02,44836,Wandsworth,E09000032,-22
457,2022-10-02,44836,Islington,E09000019,-33
458,2022-10-02,44836,Lewisham,E09000023,-5
459,2022-10-02,44836,Haringey,E09000014,22
460,2022-10-02,44836,Havering,E09000016,-10
461,2022-10-02,44836,Sutton,E09000029,-21
462,2022-10-01,44835,Hammersmith and Fulham,E09000013,-26
463,2022-10-01,44835,Redbridge,E09000026,-12
464,2022-10-01,44835,Havering,E09000016,-13
465,2022-10-01,44835,Southwark,E09000028,-23
466,2022-10-01,44835,Kensington and Chelsea,E09000020,-29
467,2022-10-01,44835,Hackney,E09000012,-23
468,2022-10-01,44835,Richmond upon Thames,E09000027,-22
469,2022-10-01,44835,Sutton,E09000029,-14
470,2022-10-01,44835,Croydon,E09000008,-8
471,2022-10-01,44835,Barking and Dagenham,E09000002,-13
472,2022-10-01,44835,Lambeth,E09000022,-21
473,2022-10-01,44835,Newham,E09000025,-7
474,2022-10-01,44835,City of London,E09000001,-29
475,2022-10-01,44835,Ealing,E09000009,-8
476,2022-10-01,44835,Wandsworth,E09000032,-22
477,2022-10-01,44835,Camden,E09000007,-26
478,2022-10-01,44835,Bexley,E09000004,-15
479,2022-10-01,44835,Islington,E09000019,-9
480,2022-10-01,44835,Hillingdon,E09000017,-4
481,2022-10-01,44835,Harrow,E09000015,-8
482,2022-10-01,44835,Lewisham,E09000023,0
483,2022-10-01,44835,Enfield,E09000010,-18
484,2022-10-01,44835,Barnet,E09000003,-11
485,2022-10-01,44835,Westminster,E09000033,-28
486,2022-10-01,44835,Hounslow,E09000018,-1
487,2022-10-01,44835,Tower Hamlets,E09000030,-12
488,2022-10-01,44835,Merton,E09000024,-18
489,2022-10-01,44835,Haringey,E09000014,-19
490,2022-10-01,44835,Bromley,E09000006,-11
491,2022-10-01,44835,Greenwich,E09000011,3
492,2022-10-01,44835,Brent,E09000005,0
493,2022-10-01,44835,Kingston upon Thames,E09000021,-16
494,2022-10-01,44835,Waltham Forest,E09000031,-11
