date,Borough,code,Retail
23/02/2020,Richmond upon Thames,E09000027,90
07/03/2020,Richmond upon Thames,E09000027,87
01/06/2022,Brent,E09000005,72
01/03/2020,Brent,E09000005,62
27/12/2021,Richmond upon Thames,E09000027,55
01/03/2020,Haringey,E09000014,44
19/02/2020,Haringey,E09000014,42
06/11/2021,Richmond upon Thames,E09000027,42
20/11/2021,Richmond upon Thames,E09000027,42
26/02/2022,Richmond upon Thames,E09000027,42
29/06/2022,Brent,E09000005,42
30/06/2022,Brent,E09000005,42
12/10/2021,Brent,E09000005,41
31/05/2021,Richmond upon Thames,E09000027,40
13/11/2021,Richmond upon Thames,E09000027,40
04/03/2020,Haringey,E09000014,38
06/07/2021,Brent,E09000005,38
30/04/2022,Richmond upon Thames,E09000027,37
07/07/2021,Brent,E09000005,36
11/07/2021,Brent,E09000005,36
12/03/2022,Richmond upon Thames,E09000027,36
17/02/2020,Hammersmith and Fulham,E09000013,35
23/02/2020,Islington,E09000019,35
26/09/2022,Brent,E09000005,35
16/08/2022,Brent,E09000005,33
02/05/2022,Greenwich,E09000011,32
29/05/2022,Brent,E09000005,31
03/09/2022,Brent,E09000005,31
16/02/2020,Islington,E09000019,30
27/02/2022,Brent,E09000005,30
01/07/2022,Brent,E09000005,30
19/06/2022,Richmond upon Thames,E09000027,28
24/06/2022,Brent,E09000005,28
25/06/2022,Brent,E09000005,28
18/02/2020,Greenwich,E09000011,27
27/02/2020,Islington,E09000019,27
29/03/2022,Brent,E09000005,27
18/06/2022,Richmond upon Thames,E09000027,27
17/08/2022,Brent,E09000005,27
31/07/2022,Brent,E09000005,25
25/02/2020,Hammersmith and Fulham,E09000013,24
17/02/2020,Kensington and Chelsea,E09000020,23
10/10/2021,Haringey,E09000014,23
12/11/2021,Brent,E09000005,23
07/10/2022,Brent,E09000005,23
09/10/2022,Haringey,E09000014,23
01/03/2020,City of London,E09000001,22
31/08/2020,Greenwich,E09000011,22
17/10/2021,Haringey,E09000014,22
02/06/2022,Greenwich,E09000011,22
02/10/2022,Haringey,E09000014,22
18/02/2020,Kensington and Chelsea,E09000020,21
03/03/2020,Hammersmith and Fulham,E09000013,21
05/09/2021,Brent,E09000005,21
23/12/2021,Waltham Forest,E09000031,21
17/02/2020,Lambeth,E09000022,20
07/03/2020,Islington,E09000019,20
23/12/2021,Havering,E09000016,20
09/05/2022,Greenwich,E09000011,20
20/02/2020,Kensington and Chelsea,E09000020,19
02/05/2022,Harrow,E09000015,18
12/05/2022,Haringey,E09000014,18
21/05/2022,Brent,E09000005,18
24/06/2022,Newham,E09000025,18
17/02/2020,Greenwich,E09000011,17
31/08/2020,Kingston upon Thames,E09000021,17
31/05/2021,Greenwich,E09000011,17
30/08/2021,Greenwich,E09000011,17
22/12/2021,Havering,E09000016,17
20/06/2022,Greenwich,E09000011,17
21/08/2022,Brent,E09000005,17
19/02/2020,Kensington and Chelsea,E09000020,16
21/02/2020,Greenwich,E09000011,16
01/03/2020,Greenwich,E09000011,16
07/03/2020,Greenwich,E09000011,16
27/11/2021,Richmond upon Thames,E09000027,16
20/12/2021,Havering,E09000016,16
22/12/2021,Waltham Forest,E09000031,16
23/12/2021,Croydon,E09000008,16
23/12/2021,Bromley,E09000006,16
14/05/2022,Brent,E09000005,16
12/08/2022,Brent,E09000005,16
17/02/2020,Havering,E09000016,15
22/12/2021,Croydon,E09000008,15
29/08/2022,Kensington and Chelsea,E09000020,15
17/02/2020,Westminster,E09000033,14
17/02/2020,Croydon,E09000008,14
17/02/2020,Kingston upon Thames,E09000021,14
03/03/2020,Greenwich,E09000011,14
22/12/2021,Bromley,E09000006,14
14/02/2022,Greenwich,E09000011,14
01/06/2022,Harrow,E09000015,14
17/02/2020,Richmond upon Thames,E09000027,13
17/02/2020,Southwark,E09000028,13
18/02/2020,Havering,E09000016,13
22/02/2020,Greenwich,E09000011,13
01/03/2020,Richmond upon Thames,E09000027,13
06/03/2020,Greenwich,E09000011,13
06/03/2020,Redbridge,E09000026,13
04/11/2020,Harrow,E09000015,13
29/06/2021,Brent,E09000005,13
10/08/2021,Greenwich,E09000011,13
21/05/2022,Richmond upon Thames,E09000027,13
31/05/2022,Greenwich,E09000011,13
02/06/2022,Waltham Forest,E09000031,13
14/06/2022,Greenwich,E09000011,13
21/06/2022,Greenwich,E09000011,13
26/06/2022,Newham,E09000025,13
01/07/2022,Haringey,E09000014,13
17/02/2020,Brent,E09000005,12
18/02/2020,Croydon,E09000008,12
19/02/2020,Lambeth,E09000022,12
19/02/2020,Havering,E09000016,12
19/02/2020,Richmond upon Thames,E09000027,12
21/02/2020,Kensington and Chelsea,E09000020,12
06/03/2020,Haringey,E09000014,12
15/12/2021,Croydon,E09000008,12
20/12/2021,Waltham Forest,E09000031,12
21/12/2021,Havering,E09000016,12
16/05/2022,Greenwich,E09000011,12
01/06/2022,Greenwich,E09000011,12
