Countries,Continent,2022
Albania,Europe,7.3
Algeria,Africa,4.7
Angola,Africa,1.6
Argentina,South America,11.9
Armenia,Asia,4.5
Australia,Oceania,20.9
Austria,Europe,20.3
Azerbaijan,Asia,5.2
Bahrain,Asia,15.6
Bangladesh,Asia,3.2
Belarus,Europe,0.7
Belgium,Europe,20.8
Belize,North America,5.1
Benin,Africa,3.5
Bhutan,Asia,2.8
Bolivia,South America,6.9
Bosnia and Herzegovina,Europe,2.1
Botswana,Africa,2.3
Brazil,South America,17.8
Brunei Darussalam,Asia,3.7
Bulgaria,Europe,8.4
Burkina Faso,Africa,1.6
Burundi,Africa,1.4
Cambodia,Asia,8.3
Cameroon,Africa,5.9
Canada,North America,21.1
Chad,Africa,2.6
Chile,South America,19.4
China,Asia,17.5
Colombia,South America,13.3
Costa Rica,North America,12.3
Croatia,Europe,7.8
Cuba,North America,0.6
Cyprus,Asia,9.4
Czechia,Europe,15.5
Denmark,Europe,18.7
Dominican Republic,North America,14.3
Ecuador,South America,6.4
Egypt,Africa,4.6
El Salvador,North America,6.5
Equatorial Guinea,Africa,2.5
Estonia,Europe,16.1
Ethiopia,Africa,0.8
Fiji,Oceania,5.5
Finland,Europe,25.7
France,Europe,26.6
Gabon,Africa,2.6
Gambia,Africa,1.7
Georgia,Asia,6
Germany,Europe,28.6
Ghana,Africa,1.1
Greece,Europe,19.1
Guatemala,North America,2
Guinea,Africa,3.8
Guyana,South America,3.6
Haiti,North America,1.4
Honduras,North America,2.3
Hungary,Europe,12.5
Iceland,Europe,20.1
India,Asia,5.4
Indonesia,Asia,8.7
Iran,Asia,1.2
Iraq,Asia,2.4
Ireland,Europe,25.4
Israel,Asia,18.8
Italy,Europe,9.7
Ivory Coast,Africa,1.1
Jamaica,North America,3.6
Japan,Asia,15.3
Jordan,Asia,4.2
Kazakhstan,Asia,3.3
Kenya,Africa,3.9
Kuwait,Asia,12.9
Kyrgyzstan,Asia,3.4
Laos,Asia,2.1
Latvia,Europe,7.1
Lebanon,Asia,2.8
Lesotho,Africa,2.5
Lithuania,Europe,12.9
Luxembourg,Europe,21
Madagascar,Africa,2.9
Malawi,Africa,1.1
Malaysia,Asia,9
Malta,Europe,16.3
Mauritius,Africa,6.1
Mexico,North America,9.6
Moldova,Europe,5.4
Mongolia,Asia,2.2
Montenegro,Europe,5.5
Morocco,Africa,5.6
Mozambique,Africa,1.9
Myanmar,Asia,3.5
Namibia,Africa,1.2
Nepal,Asia,0.8
Netherlands,Europe,20.1
New Zealand,Oceania,8.7
Nicaragua,North America,0.9
Niger,Africa,3.1
Nigeria,Africa,4.3
North Macedonia,Europe,4.6
Norway,Europe,22.6
Oman,Asia,8.7
Pakistan,Asia,3
Panama,North America,6.5
Papua New Guinea,Oceania,3.1
Paraguay,South America,3.6
Peru,South America,6.8
Philippines,Asia,4.1
Poland,Europe,12.4
Portugal,Europe,14.3
Qatar,Asia,15.6
Republic of the Congo,Africa,3.7
Romania,Europe,10.1
Russia,Europe,7.1
Rwanda,Africa,0.7
Saudi Arabia,Asia,12.1
Senegal,Africa,0.9
Serbia,Europe,12.7
Seychelles,Africa,3.5
Sierra Leone,Africa,1.1
Singapore,Asia,20.1
Slovakia,Europe,9.7
Slovenia,Europe,4.2
South Africa,Africa,8.6
South Korea,Asia,27
Spain,Europe,13.4
Sri Lanka,Asia,6.8
Sudan,Africa,0.4
Suriname,South America,3.6
Sweden,Europe,31.9
Switzerland,Europe,16.2
Tajikistan,Asia,1.7
Tanzania,Africa,1.5
Thailand,Asia,13.4
Timor-Leste,Asia,2.1
Togo,Africa,1.1
Tunisia,Africa,5.9
Turkey,Asia,11.2
Turkmenistan,Asia,1.8
Uganda,Africa,0.8
Ukraine,Europe,0.9
United Arab Emirates,Asia,16.9
United Kingdom,Europe,33.7
United States,North America,37.2
Uruguay,South America,3.2
Uzbekistan,Asia,1.2
Vietnam,Asia,3.4
Zambia,Africa,0.9
Zimbabwe,Africa,0.8
