Country,Continent,MSPR (%),GDP (Billions),Population
Albania,Europe,7.3,17.942,2842321
Algeria,Africa,4.7,193.601,44903225
Angola,Africa,1.6,124.862,35588987
Argentina,South America,11.9,564.277,45510318
Armenia,Asia,4.5,14.047,2780469
Australia,Oceania,20.9,1748.33,26177413
Austria,Europe,20.3,479.815,8939617
Azerbaijan,Asia,5.2,73.369,10358074
Bahrain,Asia,15.6,44.169,1472233
Bangladesh,Asia,3.2,396.543,171186372
Belarus,Europe,0.7,59.394,9534954
Belgium,Europe,20.8,609.887,11655930
Belize,North America,5.1,1.991,405272
Benin,Africa,3.5,18.387,13352864
Bhutan,Asia,2.8,2.653,782455
Bolivia,South America,6.9,41.032,12224110
Bosnia and Herzegovina,Europe,2.1,23.358,3233526
Botswana,Africa,2.3,18.426,2630296
Brazil,South America,17.8,1833.27,215313498
Brunei Darussalam,Asia,3.7,35.555,449002
Bulgaria,Europe,8.4,89.533,6781953
Burkina Faso,Africa,1.6,19.621,22673762
Burundi,Africa,1.4,3.431,12889576
Cambodia,Asia,8.3,28.02,16767842
Cameroon,Africa,5.9,45.713,27914536
Canada,North America,21.1,2221.22,38454327
Chad,Africa,2.6,12.938,17723315
Chile,South America,19.4,317.594,19603733
China,Asia,17.5,19911.59,1425887337
Colombia,South America,13.3,351.281,51874024
Costa Rica,North America,12.3,65.314,5180829
Croatia,Europe,7.8,69.459,4030358
Cuba,North America,0.6,#N/A,11212191
Cyprus,Asia,9.4,27.726,1251488
Czechia,Europe,15.5,296.238,10493986
Denmark,Europe,18.7,399.1,5882261
Dominican Republic,North America,14.3,109.08,11228821
Ecuador,South America,6.4,115.462,18001000
Egypt,Africa,4.6,435.621,110990103
El Salvador,North America,6.5,30.72,6336392
Equatorial Guinea,Africa,2.5,16.335,1674908
Estonia,Europe,16.1,37.202,1326062
Ethiopia,Africa,0.8,105.325,123379924
Fiji,Oceania,5.5,5.172,929766
Finland,Europe,25.7,297.617,5540745
France,Europe,26.6,2936.7,64626628
Gabon,Africa,2.6,22.456,2388992
Gambia,Africa,1.7,2.166,2705992
Georgia,Asia,6,20.889,3744385
Germany,Europe,28.6,4256.54,83369843
Ghana,Africa,1.1,73.894,33475870
Greece,Europe,19.1,222.77,10384971
Guatemala,North America,2,91.019,17843908
Guinea,Africa,3.8,20.952,13859341
Guyana,South America,3.6,13.543,808726
Haiti,North America,1.4,20.168,11584996
Honduras,North America,2.3,30.116,10432860
Hungary,Europe,12.5,197.813,9967308
Iceland,Europe,20.1,27.865,372899
India,Asia,5.4,3534.74,1417173173
Indonesia,Asia,8.7,1289.3,275501339
Iran,Asia,1.2,1739.01,88550570
Iraq,Asia,2.4,297.341,44496122
Ireland,Europe,25.4,516.146,5023109
Israel,Asia,18.8,520.703,9038309
Italy,Europe,9.7,2058.33,59037474
Ivory Coast,Africa,1.1,73.047,28160542
Jamaica,North America,3.6,15.721,2827377
Japan,Asia,15.3,4912.15,123951692
Jordan,Asia,4.2,47.745,11285869
Kazakhstan,Asia,3.3,193.611,19397998
Kenya,Africa,3.9,114.679,54027487
