Country,Continent,MSPR (%),GDP (Billions),Population,GDPPC
Albania,Europe,7.3,17.942,2842321,14218
Algeria,Africa,4.7,193.601,44903225,11112
Angola,Africa,1.6,124.862,35588987,6932
Argentina,South America,11.9,564.277,45510318,20751
Armenia,Asia,4.5,14.047,2780469,13261
Australia,Oceania,20.9,1748.33,26177413,51680
Austria,Europe,20.3,479.815,8939617,55218
Azerbaijan,Asia,5.2,73.369,10358074,14431
Bahrain,Asia,15.6,44.169,1472233,48766
Bangladesh,Asia,3.2,396.543,171186372,5307
Belarus,Europe,0.7,59.394,9534954,20187
Belgium,Europe,20.8,609.887,11655930,51096
Belize,North America,5.1,1.991,405272,6046
Benin,Africa,3.5,18.387,13352864,3437
Bhutan,Asia,2.8,2.653,782455,12060
Bolivia,South America,6.9,41.032,12224110,8344
Bosnia and Herzegovina,Europe,2.1,23.358,3233526,15047
Botswana,Africa,2.3,18.426,2630296,16893
Brazil,South America,17.8,1833.27,215313498,14916
Brunei Darussalam,Asia,3.7,35.555,449002,62371
Bulgaria,Europe,8.4,89.533,6781953,23817
Burkina Faso,Africa,1.6,19.621,22673762,2262
Burundi,Africa,1.4,3.431,12889576,760
Cambodia,Asia,8.3,28.02,16767842,4695
Cameroon,Africa,5.9,45.713,27914536,3646
Canada,North America,21.1,2221.22,38454327,48720
Chad,Africa,2.6,12.938,17723315,1611
Chile,South America,19.4,317.594,19603733,23366
China,Asia,17.5,19911.59,1425887337,17192
Colombia,South America,13.3,351.281,51874024,14324
Costa Rica,North America,12.3,65.314,5180829,19990
Croatia,Europe,7.8,69.459,4030358,27717
Cuba,North America,0.6,#N/A,11212191,#N/A
Cyprus,Asia,9.4,27.726,1251488,40107
Czechia,Europe,15.5,296.238,10493986,40618
Denmark,Europe,18.7,399.1,5882261,58932
Dominican Republic,North America,14.3,109.08,11228821,18608
Ecuador,South America,6.4,115.462,18001000,11009
Egypt,Africa,4.6,435.621,110990103,12790
El Salvador,North America,6.5,30.72,6336392,8422
