Year,Type,Sales
2011,Sync,22
2011,Performance Rights,98
2011,Digital,277
2011,Physical,505
2012,Sync,18
2012,Performance Rights,106
2012,Digital,321
2012,Physical,390
2013,Sync,19
2013,Performance Rights,111
2013,Digital,363
2013,Physical,366
2014,Sync,20
2014,Performance Rights,117
2014,Digital,360
2014,Physical,334
2015,Sync,23
2015,Performance Rights,122
2015,Digital,384
2015,Physical,304
2016,Sync,23
2016,Performance Rights,125
2016,Digital,433
2016,Physical,303
2017,Sync,23
2017,Performance Rights,129
2017,Digital,506
2017,Physical,310
2018,Sync,25
2018,Performance Rights,132
2018,Digital,599
2018,Physical,241
2019,Sync,28
2019,Performance Rights,136
2019,Digital,697
2019,Physical,216
2020,Sync,21
2020,Performance Rights,105
2020,Digital,782
2020,Physical,210
