Countries,Continent,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Albania,Europe,4.6,5,5.6,6.8,7.4,7.3,7.9,8.3,8.7,9,9.2
Algeria,Africa,2.5,2.8,3.1,3.9,4.4,4.7,5.1,5.3,5.6,5.7,5.9
Angola,Africa,0.2,0.4,0.6,0.9,1.3,1.6,2,2.2,2.3,2.4,2.4
Argentina,South America,6.3,7.1,7.9,10.2,11.2,11.9,12.9,13.6,14.2,14.6,15
Armenia,Asia,2.8,3.1,3.4,4.2,4.6,4.5,4.8,5.1,5.3,5.5,5.7
Australia,Oceania,13.2,14.1,15.2,18.6,20.1,20.9,22.4,23.4,24.2,24.9,25.3
Austria,Europe,13.3,14.3,15.6,18.8,20.6,20.3,22,23.5,24.7,25.6,26.4
Azerbaijan,Asia,3.6,3.9,4.2,5,5.4,5.2,5.5,5.7,5.8,6,6.1
Bahrain,Asia,9.3,9.9,10.8,13.2,14.6,15.6,17,18.1,18.9,19.5,19.9
Bangladesh,Asia,0.8,1.1,1.5,2.2,2.7,3.2,3.8,4.3,4.6,4.9,5.1
Belarus,Europe,0.7,0.8,0.8,0.9,1,0.7,0.8,0.8,0.9,0.9,0.9
Belgium,Europe,14.7,15.7,16.8,20.2,21.7,20.8,22.1,23.1,23.9,24.6,25.1
Belize,North America,2.8,3.1,3.5,4.2,4.7,5.1,5.5,5.9,6.2,6.4,6.6
Benin,Africa,0.3,0.6,1,1.7,2.6,3.5,4.3,4.8,5,5.1,5.1
Bhutan,Asia,1.3,1.5,1.8,2.2,2.5,2.8,3.1,3.3,3.6,3.7,3.9
Bolivia,South America,3.5,3.9,4.3,5.7,6.4,6.9,7.6,8.2,8.6,9,9.3
Bosnia and Herzegovina,Europe,1.5,1.6,1.8,2.1,2.2,2.1,2.2,2.3,2.3,2.4,2.4
Botswana,Africa,0.9,1.2,1.4,1.8,2.1,2.3,2.6,2.8,2.9,3,3.1
Brazil,South America,7.9,9.2,10.8,14.4,16.3,17.8,19.5,20.9,22,22.8,23.4
Brunei Darussalam,Asia,2.2,2.4,2.7,3,3.4,3.7,4.1,4.3,4.5,4.7,4.8
Bulgaria,Europe,4.7,5.3,6.1,7.5,8.4,8.4,9.2,9.8,10.3,10.7,11.1
