,date,date1,Borough,code,Retail,Grocery,Parks,Transit,Workplace,Residential
2310,2022-08-06,44779,Havering,E09000016,-27,-2,5,-1,-8,-2
2311,2022-08-06,44779,Lambeth,E09000022,-31,-15,82,-9,-6,-3
2312,2022-08-06,44779,Harrow,E09000015,-23,4,100,-2,-1,-2
2313,2022-08-06,44779,Hammersmith and Fulham,E09000013,-28,-15,21,-30,-25,-2
2314,2022-08-06,44779,Wandsworth,E09000032,-38,-23,7,-14,-13,-4
2315,2022-08-06,44779,City of London,E09000001,-27,-52,-21,9,,
2316,2022-08-06,44779,Barking and Dagenham,E09000002,-26,-5,51,-10,-21,-2
2317,2022-08-06,44779,Enfield,E09000010,-29,-17,22,-32,-21,-1
2318,2022-08-06,44779,Hillingdon,E09000017,-19,-14,96,-2,-15,-3
2319,2022-08-06,44779,Barnet,E09000003,-27,-7,10,-22,-18,-2
2320,2022-08-06,44779,Lewisham,E09000023,-19,-8,9,-17,-21,-3
2321,2022-08-06,44779,Newham,E09000025,-32,-10,123,-17,-4,-3
2322,2022-08-06,44779,Haringey,E09000014,-10,-19,2,-4,-29,-3
2323,2022-08-06,44779,Waltham Forest,E09000031,-21,-10,-22,-26,-24,-2
2324,2022-08-06,44779,Ealing,E09000009,-21,-8,130,-10,-17,-2
2325,2022-08-06,44779,Westminster,E09000033,-30,-3,-12,-4,-19,-2
2326,2022-08-06,44779,Greenwich,E09000011,-17,-3,-3,7,-15,-2
2327,2022-08-06,44779,Richmond upon Thames,E09000027,-29,-10,7,-21,-19,-2
2328,2022-08-06,44779,Camden,E09000007,-28,-5,11,11,-7,-2
2329,2022-08-06,44779,Croydon,E09000008,-27,-4,26,-19,-15,-2
2330,2022-08-06,44779,Merton,E09000024,-33,-15,-4,-20,-17,-2
2331,2022-08-06,44779,Sutton,E09000029,-31,-8,18,-25,-19,-2
2332,2022-08-06,44779,Kingston upon Thames,E09000021,-30,-13,79,-18,-10,-2
2333,2022-08-06,44779,Bromley,E09000006,-25,0,21,-16,-6,-2
2334,2022-08-06,44779,Bexley,E09000004,-30,-7,44,-26,-15,-2
2335,2022-08-06,44779,Southwark,E09000028,-30,-13,11,-14,-7,-3
2336,2022-08-06,44779,Hounslow,E09000018,-19,3,25,-3,-10,-3
2337,2022-08-06,44779,Hackney,E09000012,-33,-10,18,-26,-22,-3
2338,2022-08-06,44779,Brent,E09000005,3,-10,57,-8,-15,-2
2339,2022-08-06,44779,Redbridge,E09000026,-29,-13,-5,-27,-18,-2
2340,2022-08-06,44779,Kensington and Chelsea,E09000020,-32,4,7,-26,-17,-1
2341,2022-08-06,44779,Tower Hamlets,E09000030,-16,-8,19,-25,-13,-3
2342,2022-08-06,44779,Islington,E09000019,-44,-16,0,-54,-17,-3
