,Club,League,LeagueCode,MV,Attendance,Predicted League
0,Accrington Stanley,League 1,3,5.65,3201,4
1,AFC Bournemouth  ,Premier League,1,179.7,10269,3
2,AFC Wimbledon  ,League 2,4,1.48,7472,4
3,Arsenal FC,Premier League,1,759.0,60150,1
4,Aston Villa,Premier League,1,467.6,41682,1
5,Barnsley FC  ,League 1,3,3.13,9949,3
6,Barrow AFC,League 2,4,1.95,3431,4
7,Birmingham City,Championship,2,41.7,16555,2
8,Blackburn Rovers,Championship,2,63.1,14027,2
9,Blackpool FC,Championship,2,28.05,11792,2
10,Bolton Wanderers,League 1,3,10.63,18061,2
11,Bradford City,League 2,4,3.6,17367,2
12,Brentford FC,Premier League,1,305.5,17068,2
13,Brighton & Hove Albion,Premier League,1,325.6,31425,1
14,Bristol City,Championship,2,36.95,19705,2
15,Bristol Rovers  ,League 1,3,7.0,8703,4
16,Burnley FC  ,Championship,2,89.85,19277,2
17,Burton Albion,League 1,3,7.45,3278,4
18,Cambridge United,League 1,3,6.15,6034,4
19,Cardiff City,Championship,2,41.7,17964,2
20,Carlisle United,League 2,4,2.03,5370,4
21,Charlton Athletic,League 1,3,8.25,13110,2
22,Chelsea FC,Premier League,1,849.5,39901,1
23,Cheltenham Town,League 1,3,6.78,4086,4
24,Colchester United,League 2,4,6.65,3220,4
25,Coventry City,Championship,2,30.05,19218,2
26,Crawley Town,League 2,4,2.95,2894,4
27,Crewe Alexandra,League 2,4,3.9,3852,4
28,Crystal Palace,Premier League,1,293.2,24691,2
29,Derby County  ,League 1,3,22.9,26926,2
30,Doncaster Rovers,League 2,4,4.3,6314,4
31,Everton FC,Premier League,1,407.1,39209,1
32,Exeter City  ,League 1,3,6.4,6679,4
33,Fleetwood Town,League 1,3,6.75,3378,4
34,Forest Green Rovers  ,League 1,3,6.75,3088,4
35,Fulham FC  ,Premier League,1,240.0,22871,2
36,Gillingham FC,League 2,4,3.73,4378,4
37,Grimsby Town  ,League 2,4,1.45,6590,4
38,Harrogate Town,League 2,4,2.25,2015,4
39,Hartlepool United,League 2,4,2.93,4523,4
40,Huddersfield Town,Championship,2,28.95,18598,2
41,Hull City,Championship,2,55.35,17001,2
42,Ipswich Town,League 1,3,12.85,25533,2
43,Leeds United,Premier League,1,271.8,36441,1
44,Leicester City,Premier League,1,428.1,31630,1
45,Leyton Orient,League 2,4,3.05,7497,4
46,Lincoln City,League 1,3,6.78,8318,4
47,Liverpool FC ,Premier League,1,868.0,53271,1
48,Luton Town,Championship,2,30.0,9786,4
49,Manchester City,Premier League,1,1110.0,53152,1
50,Manchester United,Premier League,1,730.6,73645,1
51,Mansfield Town,League 2,4,4.18,6489,4
52,Middlesbrough FC,Championship,2,60.55,24389,2
53,Millwall FC,Championship,2,38.3,13841,2
54,Milton Keynes Dons,League 1,3,10.03,8344,4
55,Morecambe FC,League 1,3,5.5,4598,4
56,Newcastle United,Premier League,1,447.1,52177,1
57,Newport County,League 2,4,2.65,4030,4
58,Northampton Town,League 2,4,3.63,5127,4
59,Norwich City  ,Championship,2,95.65,25943,2
60,Nottingham Forest  ,Premier League,1,280.8,29040,1
61,Oxford United,League 1,3,8.98,7800,4
62,Peterborough United  ,League 1,3,10.2,8300,4
63,Plymouth Argyle,League 1,3,9.25,14904,2
64,Port Vale FC  ,League 1,3,7.6,8287,4
65,Portsmouth FC,League 1,3,13.4,18197,2
66,Preston North End,Championship,2,40.5,16007,2
67,Queens Park Rangers,Championship,2,52.45,14319,2
68,Reading FC,Championship,2,31.6,13255,2
69,Rochdale AFC,League 2,4,2.75,2858,4
70,Rotherham United  ,Championship,2,18.25,10286,3
71,Salford City,League 2,4,7.7,2926,4
72,Sheffield United,Championship,2,87.85,28588,1
73,Sheffield Wednesday,League 1,3,14.55,23867,2
74,Shrewsbury Town,League 1,3,7.15,6128,4
75,Southampton FC,Premier League,1,315.0,30538,1
76,Stevenage FC,League 2,4,3.2,3095,4
77,Stockport County  ,League 2,4,1.1,8615,4
78,Stoke City,Championship,2,51.4,20450,2
79,Sunderland AFC  ,Championship,2,39.0,37642,1
80,Sutton United,League 2,4,2.3,2842,4
81,Swansea City,Championship,2,42.95,16561,2
82,Swindon Town,League 2,4,3.85,8769,4
83,Tottenham Hotspur,Premier League,1,688.3,61667,1
84,Tranmere Rovers,League 2,4,4.73,6186,4
85,Walsall FC,League 2,4,2.1,5200,4
86,Watford FC  ,Championship,2,8.9,19300,2
87,West Bromwich Albion,Championship,2,56.75,22067,2
88,West Ham United,Premier League,1,459.5,62450,1
89,Wigan Athletic  ,Championship,2,16.95,11754,2
90,Wolverhampton Wanderers,Premier League,1,364.8,31231,1
91,Wycombe Wanderers,League 1,3,10.8,5429,4
