quote_date,regionDesc,dateStata,dateISO,year,month,p_mean,p_75,p_median,p_25
200307,East Anglia,01-07-2003,2003-07-01,2003,7,1.51,1.55,1.4549999,1.35
200407,East Anglia,01-07-2004,2004-07-01,2004,7,1.6084211,1.67,1.5,1.42
200507,East Anglia,01-07-2005,2005-07-01,2005,7,1.7442501,1.925,1.6,1.5
200607,East Anglia,01-07-2006,2006-07-01,2006,7,1.7965,1.95,1.6849999,1.575
200707,East Anglia,01-07-2007,2007-07-01,2007,7,1.8986843,2,1.75,1.6
200807,East Anglia,01-07-2008,2008-07-01,2008,7,1.9902631,2.05,1.85,1.65
200907,East Anglia,01-07-2009,2009-07-01,2009,7,2.1288888,2.3,1.925,1.835
201007,East Anglia,01-07-2010,2010-07-01,2010,7,2.2634375,2.5349998,2,1.905
201107,East Anglia,01-07-2011,2011-07-01,2011,7,2.2687879,2.4300001,2,1.95
201207,East Anglia,01-07-2012,2012-07-01,2012,7,2.3865626,2.605,2.0699999,1.975
201307,East Anglia,01-07-2013,2013-07-01,2013,7,2.4433334,2.375,2.2,2.0250001
201407,East Anglia,01-07-2014,2014-07-01,2014,7,2.5008333,2.375,2.2,2.125
201507,East Anglia,01-07-2015,2015-07-01,2015,7,2.53,2.375,2.25,2.125
201607,East Anglia,01-07-2016,2016-07-01,2016,7,2.2333333,2.3,2.2750001,2.1750002
201707,East Anglia,01-07-2017,2017-07-01,2017,7,2.2208333,2.3249998,2.3,2.0999999
201807,East Anglia,01-07-2018,2018-07-01,2018,7,2.2458334,2.3499999,2.3,2.2
201907,East Anglia,01-07-2019,2019-07-01,2019,7,2.3041666,2.5,2.3,2.175
202007,East Anglia,01-07-2020,2020-07-01,2020,7,2.325,2.5,2.3,2.25
202107,East Anglia,01-07-2021,2021-07-01,2021,7,2.3125,2.5,2.3,2.175
202207,East Anglia,01-07-2022,2022-07-01,2022,7,2.4358332,2.6500001,2.3,2.3
200307,East Midlands,01-07-2003,2003-07-01,2003,7,1.6174194,1.6,1.5,1.3
200407,East Midlands,01-07-2004,2004-07-01,2004,7,1.6766666,1.65,1.55,1.35
200507,East Midlands,01-07-2005,2005-07-01,2005,7,1.6490625,1.65,1.48,1.4
200607,East Midlands,01-07-2006,2006-07-01,2006,7,1.665,1.65,1.575,1.5
200707,East Midlands,01-07-2007,2007-07-01,2007,7,1.7763044,1.75,1.7,1.6
200807,East Midlands,01-07-2008,2008-07-01,2008,7,1.8656818,1.9,1.75,1.7
200907,East Midlands,01-07-2009,2009-07-01,2009,7,1.8551724,2,1.8,1.8
201007,East Midlands,01-07-2010,2010-07-01,2010,7,1.9137931,2,1.85,1.85
201107,East Midlands,01-07-2011,2011-07-01,2011,7,1.9107143,2,1.9,1.85
201207,East Midlands,01-07-2012,2012-07-01,2012,7,1.9375,2,1.95,1.9
201307,East Midlands,01-07-2013,2013-07-01,2013,7,1.9727273,2,2,1.9
201407,East Midlands,01-07-2014,2014-07-01,2014,7,1.9909091,2.05,2,1.95
201507,East Midlands,01-07-2015,2015-07-01,2015,7,2.0863636,2.1500001,2.0999999,1.95
201607,East Midlands,01-07-2016,2016-07-01,2016,7,2.1263638,2.22,2.1500001,2
201707,East Midlands,01-07-2017,2017-07-01,2017,7,2.1772728,2.3499999,2.2,2
201807,East Midlands,01-07-2018,2018-07-01,2018,7,2.1581819,2.25,2.2,2
201907,East Midlands,01-07-2019,2019-07-01,2019,7,2.175,2.3,2.2,2.0999999
202007,East Midlands,01-07-2020,2020-07-01,2020,7,2.3,2.3249998,2.3,2.2750001
202107,East Midlands,01-07-2021,2021-07-01,2021,7,2.2772727,2.3,2.3,2.2
202207,East Midlands,01-07-2022,2022-07-01,2022,7,2.3,2.3499999,2.3,2.2
200307,London,01-07-2003,2003-07-01,2003,7,1.5374545,1.55,1.5,1.35
200407,London,01-07-2004,2004-07-01,2004,7,1.625,1.6,1.6,1.45
200507,London,01-07-2005,2005-07-01,2005,7,1.5940385,1.65,1.6,1.48
200607,London,01-07-2006,2006-07-01,2006,7,1.5906667,1.65,1.55,1.5
200707,London,01-07-2007,2007-07-01,2007,7,1.6820482,1.75,1.7,1.6
200807,London,01-07-2008,2008-07-01,2008,7,1.7461667,1.825,1.75,1.65
200907,London,01-07-2009,2009-07-01,2009,7,1.8214999,1.9,1.825,1.7
201007,London,01-07-2010,2010-07-01,2010,7,1.8862069,2,1.9,1.75
201107,London,01-07-2011,2011-07-01,2011,7,1.9399999,2,1.95,1.8
201207,London,01-07-2012,2012-07-01,2012,7,1.9666071,2.0999999,1.95,1.8
201307,London,01-07-2013,2013-07-01,2013,7,2.0027778,2.05,1.9,1.8
201407,London,01-07-2014,2014-07-01,2014,7,2.0727777,2.0999999,1.975,1.85
201507,London,01-07-2015,2015-07-01,2015,7,2.1099999,2.1300001,2,1.9
201607,London,01-07-2016,2016-07-01,2016,7,2.1494443,2.0999999,2,1.9
201707,London,01-07-2017,2017-07-01,2017,7,2.2441177,2.2,2.0999999,2
201807,London,01-07-2018,2018-07-01,2018,7,2.3323529,2.25,2.2,2.0999999
201907,London,01-07-2019,2019-07-01,2019,7,2.3635294,2.3,2.2,2.0999999
202007,London,01-07-2020,2020-07-01,2020,7,2.243,2.3,2.3,2.22
202107,London,01-07-2021,2021-07-01,2021,7,2.271111,2.3499999,2.3,2.27
202207,London,01-07-2022,2022-07-01,2022,7,2.3127778,2.45,2.3499999,2.24
200307,North,01-07-2003,2003-07-01,2003,7,1.37125,1.35,1.35,1.325
200407,North,01-07-2004,2004-07-01,2004,7,1.4561111,1.4,1.375,1.35
200507,North,01-07-2005,2005-07-01,2005,7,1.4961112,1.45,1.4000001,1.35
200607,North,01-07-2006,2006-07-01,2006,7,1.7057142,1.8,1.5,1.5
200707,North,01-07-2007,2007-07-01,2007,7,1.764375,1.9,1.6,1.55
200807,North,01-07-2008,2008-07-01,2008,7,1.7588235,1.9,1.75,1.65
200907,North,01-07-2009,2009-07-01,2009,7,1.8033333,1.9,1.8,1.75
201007,North,01-07-2010,2010-07-01,2010,7,1.85,1.9,1.85,1.85
201107,North,01-07-2011,2011-07-01,2011,7,1.8888888,1.95,1.875,1.85
201207,North,01-07-2012,2012-07-01,2012,7,1.9361111,1.95,1.95,1.95
201307,North,01-07-2013,2013-07-01,2013,7,1.975,2,2,1.95
201407,North,01-07-2014,2014-07-01,2014,7,2.0083332,2.05,2.0250001,2
201507,North,01-07-2015,2015-07-01,2015,7,2.0350001,2.0599999,2.05,2
201607,North,01-07-2016,2016-07-01,2016,7,2.0883334,2.2,2.0650001,2
201707,North,01-07-2017,2017-07-01,2017,7,2.0833333,2.0999999,2.05,2
201807,North,01-07-2018,2018-07-01,2018,7,2.125,2.2,2.0999999,2.05
201907,North,01-07-2019,2019-07-01,2019,7,2.2249999,2.3499999,2.2,2.2
202007,North,01-07-2020,2020-07-01,2020,7,2.25,2.5,2.25,2
202107,North,01-07-2021,2021-07-01,2021,7,2.3083334,2.4000001,2.2249999,2.2
