quote_date,regionDesc,dateStata,dateISO,year,month,p_mean,p_75,p_median,p_25
200302,East Anglia,01-02-2003,2003-02-01,2003,2,1.4817142,1.55,1.4,1.3
200303,East Anglia,01-03-2003,2003-03-01,2003,3,1.4817142,1.55,1.4,1.3
200304,East Anglia,01-04-2003,2003-04-01,2003,4,1.4878125,1.55,1.4,1.3
200305,East Anglia,01-05-2003,2003-05-01,2003,5,1.5002941,1.55,1.405,1.35
200306,East Anglia,01-06-2003,2003-06-01,2003,6,1.5002941,1.55,1.405,1.35
200307,East Anglia,01-07-2003,2003-07-01,2003,7,1.51,1.55,1.4549999,1.35
200308,East Anglia,01-08-2003,2003-08-01,2003,8,1.5036364,1.55,1.41,1.35
200309,East Anglia,01-09-2003,2003-09-01,2003,9,1.5321212,1.62,1.45,1.39
200310,East Anglia,01-10-2003,2003-10-01,2003,10,1.5541177,1.62,1.45,1.4
200311,East Anglia,01-11-2003,2003-11-01,2003,11,1.5541177,1.62,1.45,1.4
200312,East Anglia,01-12-2003,2003-12-01,2003,12,1.5541177,1.62,1.45,1.4
200401,East Anglia,01-01-2004,2004-01-01,2004,1,1.5426316,1.62,1.455,1.4
200402,East Anglia,01-02-2004,2004-02-01,2004,2,1.5597368,1.62,1.455,1.4
200403,East Anglia,01-03-2004,2004-03-01,2004,3,1.5597368,1.62,1.455,1.4
200404,East Anglia,01-04-2004,2004-04-01,2004,4,1.5794737,1.62,1.455,1.4
200405,East Anglia,01-05-2004,2004-05-01,2004,5,1.6047223,1.67,1.5,1.42
200406,East Anglia,01-06-2004,2004-06-01,2004,6,1.6047223,1.67,1.5,1.42
200407,East Anglia,01-07-2004,2004-07-01,2004,7,1.6084211,1.67,1.5,1.42
200408,East Anglia,01-08-2004,2004-08-01,2004,8,1.6084211,1.67,1.5,1.42
200409,East Anglia,01-09-2004,2004-09-01,2004,9,1.6542106,1.75,1.55,1.46
200410,East Anglia,01-10-2004,2004-10-01,2004,10,1.6542106,1.75,1.55,1.46
200411,East Anglia,01-11-2004,2004-11-01,2004,11,1.6542106,1.75,1.55,1.46
200412,East Anglia,01-12-2004,2004-12-01,2004,12,1.6542106,1.75,1.55,1.46
200501,East Anglia,01-01-2005,2005-01-01,2005,1,1.6197143,1.75,1.55,1.5
200502,East Anglia,01-02-2005,2005-02-01,2005,2,1.664054,1.8,1.55,1.5
200503,East Anglia,01-03-2005,2005-03-01,2005,3,1.7208108,1.9,1.6,1.5
200504,East Anglia,01-04-2005,2005-04-01,2005,4,1.7285366,1.9,1.6,1.5
200505,East Anglia,01-05-2005,2005-05-01,2005,5,1.553125,1.6,1.525,1.5
200506,East Anglia,01-06-2005,2005-06-01,2005,6,1.7442501,1.925,1.6,1.5
200507,East Anglia,01-07-2005,2005-07-01,2005,7,1.7442501,1.925,1.6,1.5
200508,East Anglia,01-08-2005,2005-08-01,2005,8,1.7442501,1.925,1.6,1.5
200509,East Anglia,01-09-2005,2005-09-01,2005,9,1.8025641,1.98,1.7,1.55
200510,East Anglia,01-10-2005,2005-10-01,2005,10,1.779,1.965,1.675,1.525
200511,East Anglia,01-11-2005,2005-11-01,2005,11,1.779,1.965,1.675,1.525
200512,East Anglia,01-12-2005,2005-12-01,2005,12,1.779,1.965,1.675,1.525
200601,East Anglia,01-01-2006,2006-01-01,2006,1,1.836875,2.0700002,1.7,1.55
200602,East Anglia,01-02-2006,2006-02-01,2006,2,1.829697,2,1.7,1.55
200603,East Anglia,01-03-2006,2006-03-01,2006,3,1.7995,1.975,1.675,1.55
200604,East Anglia,01-04-2006,2006-04-01,2006,4,1.7921951,1.95,1.65,1.55
200605,East Anglia,01-05-2006,2006-05-01,2006,5,1.7965,1.95,1.6849999,1.575
200606,East Anglia,01-06-2006,2006-06-01,2006,6,1.7965,1.95,1.6849999,1.575
200607,East Anglia,01-07-2006,2006-07-01,2006,7,1.7965,1.95,1.6849999,1.575
200608,East Anglia,01-08-2006,2006-08-01,2006,8,1.7965,1.95,1.6849999,1.575
200609,East Anglia,01-09-2006,2006-09-01,2006,9,1.8705128,2,1.7,1.6
200610,East Anglia,01-10-2006,2006-10-01,2006,10,1.87375,2,1.725,1.6
200611,East Anglia,01-11-2006,2006-11-01,2006,11,1.87375,2,1.725,1.6
200612,East Anglia,01-12-2006,2006-12-01,2006,12,1.87375,2,1.725,1.6
200701,East Anglia,01-01-2007,2007-01-01,2007,1,1.8825641,2,1.7,1.6
200702,East Anglia,01-02-2007,2007-02-01,2007,2,1.8825641,2,1.7,1.6
200703,East Anglia,01-03-2007,2007-03-01,2007,3,1.8825641,2,1.7,1.6
200704,East Anglia,01-04-2007,2007-04-01,2007,4,1.8825641,2,1.7,1.6
200705,East Anglia,01-05-2007,2007-05-01,2007,5,1.8986843,2,1.75,1.6
200706,East Anglia,01-06-2007,2007-06-01,2007,6,1.8986843,2,1.75,1.6
200707,East Anglia,01-07-2007,2007-07-01,2007,7,1.8986843,2,1.75,1.6
200708,East Anglia,01-08-2007,2007-08-01,2007,8,1.8986843,2,1.75,1.6
200709,East Anglia,01-09-2007,2007-09-01,2007,9,1.9561111,2.125,1.8,1.65
200710,East Anglia,01-10-2007,2007-10-01,2007,10,1.9413158,2,1.78,1.65
200711,East Anglia,01-11-2007,2007-11-01,2007,11,1.9413158,2,1.78,1.65
200712,East Anglia,01-12-2007,2007-12-01,2007,12,1.9413158,2,1.78,1.65
200801,East Anglia,01-01-2008,2008-01-01,2008,1,1.8575,1.9,1.78,1.65
200802,East Anglia,01-02-2008,2008-02-01,2008,2,1.8575,1.9,1.78,1.65
200803,East Anglia,01-03-2008,2008-03-01,2008,3,1.9492105,2,1.8,1.65
200804,East Anglia,01-04-2008,2008-04-01,2008,4,1.9492105,2,1.8,1.65
200805,East Anglia,01-05-2008,2008-05-01,2008,5,1.9886487,2,1.85,1.65
200806,East Anglia,01-06-2008,2008-06-01,2008,6,1.9902631,2.05,1.85,1.65
200807,East Anglia,01-07-2008,2008-07-01,2008,7,1.9902631,2.05,1.85,1.65
200808,East Anglia,01-08-2008,2008-08-01,2008,8,1.9902631,2.05,1.85,1.65
200809,East Anglia,01-09-2008,2008-09-01,2008,9,2.0373683,2.0999999,1.875,1.75
200810,East Anglia,01-10-2008,2008-10-01,2008,10,2.0464864,2.0999999,1.9,1.75
200811,East Anglia,01-11-2008,2008-11-01,2008,11,2.0464864,2.0999999,1.9,1.75
200812,East Anglia,01-12-2008,2008-12-01,2008,12,2.0464864,2.0999999,1.9,1.75
200901,East Anglia,01-01-2009,2009-01-01,2009,1,2.0854545,2.5,1.9,1.75
200902,East Anglia,01-02-2009,2009-02-01,2009,2,2.0854545,2.5,1.9,1.75
200903,East Anglia,01-03-2009,2009-03-01,2009,3,2.0654054,2.0999999,1.9,1.75
200904,East Anglia,01-04-2009,2009-04-01,2009,4,2.0654054,2.0999999,1.9,1.75
200905,East Anglia,01-05-2009,2009-05-01,2009,5,2.0889189,2.0999999,1.9,1.8
200906,East Anglia,01-06-2009,2009-06-01,2009,6,2.0889189,2.0999999,1.9,1.8
200907,East Anglia,01-07-2009,2009-07-01,2009,7,2.1288888,2.3,1.925,1.835
200908,East Anglia,01-08-2009,2009-08-01,2009,8,2.1288888,2.3,1.925,1.835
200909,East Anglia,01-09-2009,2009-09-01,2009,9,2.1811111,2.4749999,2,1.885
200910,East Anglia,01-10-2009,2009-10-01,2009,10,2.1811111,2.4749999,2,1.885
200911,East Anglia,01-11-2009,2009-11-01,2009,11,2.1811111,2.4749999,2,1.885
200912,East Anglia,01-12-2009,2009-12-01,2009,12,2.1811111,2.4749999,2,1.885
201001,East Anglia,01-01-2010,2010-01-01,2010,1,2.2149999,2.4749999,2,1.9
201002,East Anglia,01-02-2010,2010-02-01,2010,2,2.2149999,2.4749999,2,1.9
201003,East Anglia,01-03-2010,2010-03-01,2010,3,2.2149999,2.4749999,2,1.9
201004,East Anglia,01-04-2010,2010-04-01,2010,4,2.2149999,2.4749999,2,1.9
201005,East Anglia,01-05-2010,2010-05-01,2010,5,2.2719355,2.75,2,1.9
