Geography,Year,Meal/Income,,,,,,,,,,,,,,,,,,
East,2003,3.803526,,,,,,,,,,,,,,,,,,
East,2004,3.847897,,,,,,,,,,,,,,,,,,
East,2005,4.360625,,,,,,,,,,,,,,,,,,
East,2006,4.265195,,,,,,,,,,,,,,,,,,
East,2007,4.436178,,,,,,,,,,,,,,,,,,
East,2008,4.438589,,,,,,,,,,,,,,,,,,
East,2009,4.594063,,,,,,,,,,,,,,,,,,
East,2010,4.920516,,,,,,,,,,,,,,,,,,
East,2011,4.932148,,,,,,,,,,,,,,,,,,
East,2012,5.315284,,,,,,,,,,,,,,,,,,
East,2013,5.150366,,,,,,,,,,,,,,,,,,
East,2014,5.359694,,,,,,,,,,,,,,,,,,
East,2015,5.473821,,,,,,,,,,,,,,,,,,
East,2016,4.429459,,,,,,,,,,,,,,,,,,
East,2017,4.280712,,,,,,,,,,,,,,,,,,
East,2018,4.142076,,,,,,,,,,,,,,,,,,
East,2019,4.060921,,,,,,,,,,,,,,,,,,
East,2020,4.323168,,,,,,,,,,,,,,,,,,
East,2021,3.802203,,,,,,,,,,,,,,,,,,
East,2022,3.717694,,,,,,,,,,,,,,,,,,
East Midlands,2003,4.14298,,,,,,,,,,,,,,,,,,
East Midlands,2004,4.150165,,,,,,,,,,,,,,,,,,
East Midlands,2005,4.166403,,,,,,,,,,,,,,,,,,
East Midlands,2006,3.877503,,,,,,,,,,,,,,,,,,
East Midlands,2007,4.100426,,,,,,,,,,,,,,,,,,
East Midlands,2008,4.1004,,,,,,,,,,,,,,,,,,
East Midlands,2009,3.964044,,,,,,,,,,,,,,,,,,
East Midlands,2010,4.056365,,,,,,,,,,,,,,,,,,
East Midlands,2011,4.139329,,,,,,,,,,,,,,,,,,
East Midlands,2012,4.087553,,,,,,,,,,,,,,,,,,
East Midlands,2013,4.069157,,,,,,,,,,,,,,,,,,
East Midlands,2014,4.096521,,,,,,,,,,,,,,,,,,
East Midlands,2015,4.264848,,,,,,,,,,,,,,,,,,
East Midlands,2016,4.09704,,,,,,,,,,,,,,,,,,
East Midlands,2017,4.053002,,,,,,,,,,,,,,,,,,
East Midlands,2018,4.021957,,,,,,,,,,,,,,,,,,
East Midlands,2019,3.801118,,,,,,,,,,,,,,,,,,
East Midlands,2020,3.94782,,,,,,,,,,,,,,,,,,
East Midlands,2021,3.580617,,,,,,,,,,,,,,,,,,
East Midlands,2022,3.46908,,,,,,,,,,,,,,,,,,
London,2003,2.702029,,,,,,,,,,,,,,,,,,
London,2004,2.708333,,,,,,,,,,,,,,,,,,
London,2005,2.624364,,,,,,,,,,,,,,,,,,
London,2006,2.555698,,,,,,,,,,,,,,,,,,
London,2007,2.591754,,,,,,,,,,,,,,,,,,
London,2008,2.625815,,,,,,,,,,,,,,,,,,
London,2009,2.642919,,,,,,,,,,,,,,,,,,
London,2010,2.733633,,,,,,,,,,,,,,,,,,
London,2011,2.849589,,,,,,,,,,,,,,,,,,
London,2012,2.840276,,,,,,,,,,,,,,,,,,
London,2013,2.893351,,,,,,,,,,,,,,,,,,
London,2014,3.029491,,,,,,,,,,,,,,,,,,
London,2015,2.986976,,,,,,,,,,,,,,,,,,
London,2016,2.955781,,,,,,,,,,,,,,,,,,
London,2017,2.98182,,,,,,,,,,,,,,,,,,
London,2018,3.018055,,,,,,,,,,,,,,,,,,
London,2019,2.936061,,,,,,,,,,,,,,,,,,
London,2020,2.805854,,,,,,,,,,,,,,,,,,
London,2021,2.670011,,,,,,,,,,,,,,,,,,
London,2022,2.5003,,,,,,,,,,,,,,,,,,
North East,2003,3.6941,,,,,,,,,,,,,,,,,,
North East,2004,3.825831,,,,,,,,,,,,,,,,,,
North East,2005,3.834216,,,,,,,,,,,,,,,,,,
North East,2006,4.180672,,,,,,,,,,,,,,,,,,
North East,2007,4.082311,,,,,,,,,,,,,,,,,,
North East,2008,3.887762,,,,,,,,,,,,,,,,,,
North East,2009,3.893207,,,,,,,,,,,,,,,,,,
North East,2010,3.973368,,,,,,,,,,,,,,,,,,
North East,2011,4.10628,,,,,,,,,,,,,,,,,,
North East,2012,4.086347,,,,,,,,,,,,,,,,,,
North East,2013,4.223695,,,,,,,,,,,,,,,,,,
North East,2014,4.161486,,,,,,,,,,,,,,,,,,
North East,2015,4.060256,,,,,,,,,,,,,,,,,,
North East,2016,3.971726,,,,,,,,,,,,,,,,,,
North East,2017,3.891172,,,,,,,,,,,,,,,,,,
North East,2018,3.837125,,,,,,,,,,,,,,,,,,
North East,2019,3.853481,,,,,,,,,,,,,,,,,,
North East,2020,3.947368,,,,,,,,,,,,,,,,,,
North East,2021,3.731544,,,,,,,,,,,,,,,,,,
North East,2022,3.593014,,,,,,,,,,,,,,,,,,
North West,2003,3.665556,,,,,,,,,,,,,,,,,,
North West,2004,3.641827,,,,,,,,,,,,,,,,,,
North West,2005,3.74425,,,,,,,,,,,,,,,,,,
North West,2006,3.728128,,,,,,,,,,,,,,,,,,
North West,2007,3.656655,,,,,,,,,,,,,,,,,,
North West,2008,3.804348,,,,,,,,,,,,,,,,,,
North West,2009,3.950263,,,,,,,,,,,,,,,,,,
North West,2010,4.025272,,,,,,,,,,,,,,,,,,
North West,2011,4.068713,,,,,,,,,,,,,,,,,,
North West,2012,4.142385,,,,,,,,,,,,,,,,,,
North West,2013,4.074907,,,,,,,,,,,,,,,,,,
North West,2014,3.952772,,,,,,,,,,,,,,,,,,
North West,2015,3.872229,,,,,,,,,,,,,,,,,,
North West,2016,3.651463,,,,,,,,,,,,,,,,,,
North West,2017,3.592163,,,,,,,,,,,,,,,,,,
North West,2018,3.620508,,,,,,,,,,,,,,,,,,
North West,2019,3.479903,,,,,,,,,,,,,,,,,,
North West,2020,3.812907,,,,,,,,,,,,,,,,,,
North West,2021,3.452251,,,,,,,,,,,,,,,,,,
North West,2022,3.224165,,,,,,,,,,,,,,,,,,
Northern Ireland,2003,4.134367,,,,,,,,,,,,,,,,,,
Northern Ireland,2004,4.591667,,,,,,,,,,,,,,,,,,
Northern Ireland,2005,4.881657,,,,,,,,,,,,,,,,,,
Northern Ireland,2006,4.997215,,,,,,,,,,,,,,,,,,
Northern Ireland,2007,4.888306,,,,,,,,,,,,,,,,,,
