Geography,Geography code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
East,E12000006,3.803526,3.847897,4.360625,4.265195,4.436178,4.438589,4.594063,4.920516,4.932148,5.315284,5.150366,5.359694,5.473821,4.429459,4.280712,4.142076,4.060921,4.323168,3.802203,3.717694
East Midlands,E12000004,4.14298,4.150165,4.166403,3.877503,4.100426,4.1004,3.964044,4.056365,4.139329,4.087553,4.069157,4.096521,4.264848,4.09704,4.053002,4.021957,3.801118,3.94782,3.580617,3.46908
London,E12000007,2.702029,2.708333,2.624364,2.555698,2.591754,2.625815,2.642919,2.733633,2.849589,2.840276,2.893351,3.029491,2.986976,2.955781,2.98182,3.018055,2.936061,2.805854,2.670011,2.5003
North East,E12000001,3.6941,3.825831,3.834216,4.180672,4.082311,3.887762,3.893207,3.973368,4.10628,4.086347,4.223695,4.161486,4.060256,3.971726,3.891172,3.837125,3.853481,3.947368,3.731544,3.593014
North West,E12000002,3.665556,3.641827,3.74425,3.728128,3.656655,3.804348,3.950263,4.025272,4.068713,4.142385,4.074907,3.952772,3.872229,3.651463,3.592163,3.620508,3.479903,3.812907,3.452251,3.224165
Northern Ireland,N92000002,4.134367,4.591667,4.881657,4.997215,4.888306,4.717478,4.617698,4.671882,4.954955,5.090236,5.232029,5.173189,5.055698,5.09165,4.871991,4.742794,4.593639,4.652827,4.277723,3.834808
Scotland,S92000003,3.625754,3.465474,3.650364,3.552014,3.383454,3.342699,3.349074,3.468845,3.623846,3.570616,3.24165,3.457273,3.533654,3.496834,3.518354,3.570594,3.443878,3.245307,3.133474,2.876929
South East,E12000008,3.126547,3.319331,3.607858,3.656469,3.731286,3.877016,4.019259,4.165288,4.304399,4.21454,4.265693,4.43539,4.228119,3.966539,4.061533,4.144376,3.957532,3.782745,3.426479,3.221639
South West,E12000009,3.657866,3.647538,4.009573,3.732207,3.964327,4.153181,4.204666,4.373178,4.778865,4.73374,4.811989,4.898731,4.696954,4.412858,4.3869,4.42217,4.176271,4.334373,3.852583,3.530047
Wales,W92000004,3.545387,3.391629,3.70234,3.625272,3.685065,3.836971,3.897238,4.001927,4.281746,4.316331,3.983229,4.149306,4.122736,3.923415,4.005216,3.997315,3.925121,4.282288,3.752167,3.357143
West Midlands,E12000005,3.797961,3.580217,3.831723,3.683214,3.744962,3.839467,3.909782,4.034788,4.237104,4.29629,4.04321,4.208126,4.180554,4.085899,3.916606,3.783879,3.722409,3.772944,3.444915,3.213893
Yorkshire and The Humber,E12000003,3.309204,3.377083,3.577446,3.645892,3.539324,3.634921,3.808269,3.842727,3.983782,3.944106,4.175596,4.279805,4.122012,4.013987,3.890467,3.880643,3.792754,3.922261,3.564463,3.630428
,,,,,,,,,,,,,,,,,,,,,
