Borough,code,29/06/2022,30/06/2022
Brent,E09000005,42,42
Merton,E09000024,3,5
Greenwich,E09000011,1,-2
Harrow,E09000015,-5,-4
Lewisham,E09000023,-5,-4
Waltham Forest,E09000031,-6,-8
Hillingdon,E09000017,-9,-8
Havering,E09000016,-10,-9
Hounslow,E09000018,-11,-10
Bromley,E09000006,-11,-10
Newham,E09000025,-14,-11
Barnet,E09000003,-14,-11
Croydon,E09000008,-14,-12
Ealing,E09000009,-14,-12
Tower Hamlets,E09000030,-14,-13
Barking and Dagenham,E09000002,-16,-13
Sutton,E09000029,-17,-13
Kensington and Chelsea,E09000020,-18,-15
Redbridge,E09000026,-18,-16
Enfield,E09000010,-20,-17
Kingston upon Thames,E09000021,-21,-18
Bexley,E09000004,-21,-19
Lambeth,E09000022,-21,-19
Richmond upon Thames,E09000027,-21,-21
Hammersmith and Fulham,E09000013,-21,-21
Southwark,E09000028,-23,-22
Haringey,E09000014,-25,-23
Hackney,E09000012,-25,-24
Wandsworth,E09000032,-27,-26
Westminster,E09000033,-29,-29
Camden,E09000007,-31,-29
Islington,E09000019,-38,-34
City of London,E09000001,-42,-39
