,date,date1,Borough,code,Retail,Grocery,Parks,Transit,Workplace,Residential
2508,2022-07-31,44773,Southwark,E09000028,-24,-5,14,-12,-1,-2
2509,2022-07-31,44773,Lewisham,E09000023,-10,-8,13,-12,-14,-2
2510,2022-07-31,44773,Havering,E09000016,-21,-1,15,-2,-6,-1
2511,2022-07-31,44773,Westminster,E09000033,-24,-4,-11,-4,-15,-2
2512,2022-07-31,44773,Ealing,E09000009,-16,-2,94,-2,-10,-2
2513,2022-07-31,44773,Redbridge,E09000026,-24,-13,2,-20,-17,-3
2514,2022-07-31,44773,Harrow,E09000015,-21,-3,82,16,9,-3
2515,2022-07-31,44773,Hammersmith and Fulham,E09000013,-29,-18,-1,-30,-17,-2
2516,2022-07-31,44773,Enfield,E09000010,-28,-17,17,-31,-12,-1
2517,2022-07-31,44773,Waltham Forest,E09000031,-14,-12,-2,-11,-17,-2
2518,2022-07-31,44773,Islington,E09000019,-37,-18,6,-58,-14,-3
2519,2022-07-31,44773,City of London,E09000001,-23,-56,-29,-2,,
2520,2022-07-31,44773,Hackney,E09000012,-28,-11,-7,-25,-11,-2
2521,2022-07-31,44773,Barking and Dagenham,E09000002,-21,-12,49,-11,-17,-2
2522,2022-07-31,44773,Sutton,E09000029,-25,-7,11,-29,-12,-2
2523,2022-07-31,44773,Bromley,E09000006,-22,0,-4,-15,-2,-1
2524,2022-07-31,44773,Tower Hamlets,E09000030,-12,-18,9,-16,-6,-3
2525,2022-07-31,44773,Newham,E09000025,-17,-9,159,-1,3,-3
2526,2022-07-31,44773,Wandsworth,E09000032,-29,-22,-12,-15,1,-3
2527,2022-07-31,44773,Barnet,E09000003,-24,-9,11,-17,-6,-1
2528,2022-07-31,44773,Bexley,E09000004,-26,-8,19,-18,-11,-1
2529,2022-07-31,44773,Brent,E09000005,25,-2,48,24,-8,-2
2530,2022-07-31,44773,Lambeth,E09000022,-25,-14,73,-8,-5,-3
2531,2022-07-31,44773,Merton,E09000024,-28,-18,-10,-21,-13,-2
2532,2022-07-31,44773,Croydon,E09000008,-19,0,6,-18,-7,-2
2533,2022-07-31,44773,Kingston upon Thames,E09000021,-22,-15,90,-8,-3,-2
2534,2022-07-31,44773,Hillingdon,E09000017,-10,-14,78,-3,-6,-2
2535,2022-07-31,44773,Camden,E09000007,-26,-7,6,19,-10,-3
2536,2022-07-31,44773,Haringey,E09000014,-30,-18,-18,-20,-24,-2
2537,2022-07-31,44773,Hounslow,E09000018,-10,2,32,-2,-5,-2
2538,2022-07-31,44773,Richmond upon Thames,E09000027,-31,-9,-7,-26,-19,-2
2539,2022-07-31,44773,Kensington and Chelsea,E09000020,-29,-4,-4,-26,-16,-1
2540,2022-07-31,44773,Greenwich,E09000011,-18,-3,-4,-7,-11,-2
