quote_date,regionDesc,dateStata,dateISO,year,month,p_mean,p_75,p_median,p_25
200307,East Anglia,01-07-2003,2003-07-01,2003,7,2.2439024,2.3499999,2.25,2.1500001
200407,East Anglia,01-07-2004,2004-07-01,2004,7,2.2723405,2.4000001,2.3,2.2
200507,East Anglia,01-07-2005,2005-07-01,2005,7,2.4028571,2.5,2.4000001,2.3
200607,East Anglia,01-07-2006,2006-07-01,2006,7,2.471915,2.6500001,2.5,2.3499999
200707,East Anglia,01-07-2007,2007-07-01,2007,7,2.5462744,2.75,2.5999999,2.4000001
200807,East Anglia,01-07-2008,2008-07-01,2008,7,2.6891668,2.95,2.8,2.5250001
200907,East Anglia,01-07-2009,2009-07-01,2009,7,2.8238776,3,2.9000001,2.6600001
201007,East Anglia,01-07-2010,2010-07-01,2010,7,2.8961539,3.0999999,3,2.7
201107,East Anglia,01-07-2011,2011-07-01,2011,7,3.0675511,3.3499999,3.2,2.8
201207,East Anglia,01-07-2012,2012-07-01,2012,7,3.1345098,3.5,3.2,2.8499999
201307,East Anglia,01-07-2013,2013-07-01,2013,7,3.2659574,3.5999999,3.3,3
201407,East Anglia,01-07-2014,2014-07-01,2014,7,3.2947369,3.7,3.3,3.0899999
201507,East Anglia,01-07-2015,2015-07-01,2015,7,3.3705263,3.8,3.4000001,3.1500001
201607,East Anglia,01-07-2016,2016-07-01,2016,7,3.4602778,3.9000001,3.5,3.1500001
201707,East Anglia,01-07-2017,2017-07-01,2017,7,3.581795,4,3.6500001,3.1500001
201807,East Anglia,01-07-2018,2018-07-01,2018,7,3.6046154,4.0999999,3.6500001,3
201907,East Anglia,01-07-2019,2019-07-01,2019,7,3.638,4.1999998,3.5999999,3.05
202007,East Anglia,01-07-2020,2020-07-01,2020,7,3.4772222,3.75,3.5749998,2.9000001
202107,East Anglia,01-07-2021,2021-07-01,2021,7,3.74,4.3499999,3.8,3.45
202207,East Anglia,01-07-2022,2022-07-01,2022,7,3.8512499,4.5999999,3.9749999,3.4749999
200307,East Midlands,01-07-2003,2003-07-01,2003,7,2.1128948,2.2,2.1350002,2.03
200407,East Midlands,01-07-2004,2004-07-01,2004,7,2.2118421,2.3499999,2.28,2.0999999
200507,East Midlands,01-07-2005,2005-07-01,2005,7,2.3010526,2.4000001,2.3249998,2.2
200607,East Midlands,01-07-2006,2006-07-01,2006,7,2.3476315,2.5,2.4000001,2.25
200707,East Midlands,01-07-2007,2007-07-01,2007,7,2.4625001,2.5999999,2.5,2.4000001
200807,East Midlands,01-07-2008,2008-07-01,2008,7,2.5432432,2.7,2.6199999,2.45
200907,East Midlands,01-07-2009,2009-07-01,2009,7,2.6094594,2.8499999,2.7,2.5
201007,East Midlands,01-07-2010,2010-07-01,2010,7,2.7854054,3,2.9000001,2.7
201107,East Midlands,01-07-2011,2011-07-01,2011,7,2.8562162,3.1500001,3,2.7
201207,East Midlands,01-07-2012,2012-07-01,2012,7,2.9879999,3.25,3.05,2.8
201307,East Midlands,01-07-2013,2013-07-01,2013,7,3.0494595,3.3,3.0999999,2.9400001
201407,East Midlands,01-07-2014,2014-07-01,2014,7,2.9896429,3.3150001,3.0949998,2.7150002
201507,East Midlands,01-07-2015,2015-07-01,2015,7,3.0355172,3.45,3.0999999,2.79
201607,East Midlands,01-07-2016,2016-07-01,2016,7,3.174,3.5999999,3.2249999,2.99
201707,East Midlands,01-07-2017,2017-07-01,2017,7,3.2996428,3.7,3.2750001,2.9949999
201807,East Midlands,01-07-2018,2018-07-01,2018,7,3.3,3.7,3.4000001,2.95
201907,East Midlands,01-07-2019,2019-07-01,2019,7,3.4231033,3.8,3.5,3.05
202007,East Midlands,01-07-2020,2020-07-01,2020,7,3.5339999,3.8499999,3.55,3.2750001
202107,East Midlands,01-07-2021,2021-07-01,2021,7,3.4949999,4,3.5250001,2.99
202207,East Midlands,01-07-2022,2022-07-01,2022,7,3.6262963,4.0999999,3.7,3.1900001
200307,London,01-07-2003,2003-07-01,2003,7,2.3596826,2.5999999,2.3599999,2.1900001
200407,London,01-07-2004,2004-07-01,2004,7,2.3815625,2.6500001,2.4000001,2.2
200507,London,01-07-2005,2005-07-01,2005,7,2.41875,2.6750002,2.4749999,2.1600001
200607,London,01-07-2006,2006-07-01,2006,7,2.5267646,2.8,2.5450001,2.2750001
200707,London,01-07-2007,2007-07-01,2007,7,2.5975363,2.8,2.5999999,2.4000001
200807,London,01-07-2008,2008-07-01,2008,7,2.7384849,3,2.8,2.5
200907,London,01-07-2009,2009-07-01,2009,7,2.7623529,3.0250001,2.8,2.4000001
201007,London,01-07-2010,2010-07-01,2010,7,2.9383583,3.3,2.95,2.5999999
201107,London,01-07-2011,2011-07-01,2011,7,3.0877273,3.5,3.0999999,2.75
201207,London,01-07-2012,2012-07-01,2012,7,3.1958823,3.5999999,3.2,2.895
201307,London,01-07-2013,2013-07-01,2013,7,3.2896924,3.8,3.3,2.9400001
201407,London,01-07-2014,2014-07-01,2014,7,3.3517392,3.9000001,3.5,2.8
201507,London,01-07-2015,2015-07-01,2015,7,3.5341666,4.0999999,3.7,3.0250001
201607,London,01-07-2016,2016-07-01,2016,7,3.553,4.0999999,3.7249999,3.0999999
201707,London,01-07-2017,2017-07-01,2017,7,3.7015686,4.3499999,3.6500001,3.05
201807,London,01-07-2018,2018-07-01,2018,7,3.8580768,4.5999999,3.875,3.22
201907,London,01-07-2019,2019-07-01,2019,7,4.0166669,4.8000002,3.8,3.45
202007,London,01-07-2020,2020-07-01,2020,7,3.9918749,4.7250004,4.2249999,2.9749999
