quote_date,regionDesc,dateStata,dateISO,year,month,p_mean,p_75,p_median,p_25
200306,East Anglia,01-06-2003,2003-06-01,2003,6,2.2460001,2.3,2.25,2.1500001
200406,East Anglia,01-06-2004,2004-06-01,2004,6,2.2766666,2.4000001,2.3,2.2
200506,East Anglia,01-06-2005,2005-06-01,2005,6,2.4068,2.5,2.4000001,2.3
200606,East Anglia,01-06-2006,2006-06-01,2006,6,2.4723914,2.6500001,2.5,2.3499999
200706,East Anglia,01-06-2007,2007-06-01,2007,6,2.5370588,2.75,2.5999999,2.4000001
200806,East Anglia,01-06-2008,2008-06-01,2008,6,2.6972728,2.95,2.8,2.5749998
200906,East Anglia,01-06-2009,2009-06-01,2009,6,2.8034694,3,2.8499999,2.6600001
201006,East Anglia,01-06-2010,2010-06-01,2010,6,2.8923078,3.0999999,3,2.7
201106,East Anglia,01-06-2011,2011-06-01,2011,6,3.0592,3.3499999,3.125,2.8
201206,East Anglia,01-06-2012,2012-06-01,2012,6,3.1322,3.5,3.25,2.8499999
201306,East Anglia,01-06-2013,2013-06-01,2013,6,3.227,3.55,3.3,2.99
201406,East Anglia,01-06-2014,2014-06-01,2014,6,3.2965789,3.7,3.2950001,3.0899999
201506,East Anglia,01-06-2015,2015-06-01,2015,6,3.3548648,3.75,3.4000001,3.1500001
201606,East Anglia,01-06-2016,2016-06-01,2016,6,3.4686112,3.9250002,3.5,3.1500001
201706,East Anglia,01-06-2017,2017-06-01,2017,6,3.6051352,4,3.6500001,3.3
201806,East Anglia,01-06-2018,2018-06-01,2018,6,3.6097436,4.0999999,3.6500001,3.0999999
201906,East Anglia,01-06-2019,2019-06-01,2019,6,3.6237838,4.0999999,3.5999999,3.05
202106,East Anglia,01-06-2021,2021-06-01,2021,6,3.6273334,4.1999998,3.8,2.8900001
202206,East Anglia,01-06-2022,2022-06-01,2022,6,3.95,4.6999998,4.0250001,3.5999999
200306,East Midlands,01-06-2003,2003-06-01,2003,6,2.1121054,2.2,2.1350002,2
200406,East Midlands,01-06-2004,2004-06-01,2004,6,2.2051282,2.3499999,2.26,2.0999999
200506,East Midlands,01-06-2005,2005-06-01,2005,6,2.2952778,2.4000001,2.3049998,2.2
200606,East Midlands,01-06-2006,2006-06-01,2006,6,2.324054,2.5,2.4000001,2.25
200706,East Midlands,01-06-2007,2007-06-01,2007,6,2.4540541,2.5999999,2.5,2.4000001
200806,East Midlands,01-06-2008,2008-06-01,2008,6,2.5572221,2.7,2.635,2.4749999
200906,East Midlands,01-06-2009,2009-06-01,2009,6,2.6078947,2.8499999,2.7,2.5
201006,East Midlands,01-06-2010,2010-06-01,2010,6,2.7854054,3,2.9000001,2.7
201106,East Midlands,01-06-2011,2011-06-01,2011,6,2.8816667,3.125,2.9749999,2.7
201206,East Midlands,01-06-2012,2012-06-01,2012,6,2.9655883,3.25,3.0250001,2.7
201306,East Midlands,01-06-2013,2013-06-01,2013,6,3.0405405,3.3,3.0999999,2.9000001
201406,East Midlands,01-06-2014,2014-06-01,2014,6,3.0434482,3.3299999,3.0999999,2.73
201506,East Midlands,01-06-2015,2015-06-01,2015,6,3.0376666,3.45,3.0949998,2.8
201606,East Midlands,01-06-2016,2016-06-01,2016,6,3.1662068,3.5999999,3.2,2.99
201706,East Midlands,01-06-2017,2017-06-01,2017,6,3.2824137,3.7,3.25,2.99
201806,East Midlands,01-06-2018,2018-06-01,2018,6,3.2910714,3.75,3.325,2.95
201906,East Midlands,01-06-2019,2019-06-01,2019,6,3.4248276,3.8499999,3.5,3.05
202106,East Midlands,01-06-2021,2021-06-01,2021,6,3.5050001,4.0250001,3.5149999,3.095
202206,East Midlands,01-06-2022,2022-06-01,2022,6,3.6471429,4.0999999,3.6750002,3.1700001
200306,London,01-06-2003,2003-06-01,2003,6,2.345,2.5749998,2.3599999,2.1550002
200406,London,01-06-2004,2004-06-01,2004,6,2.3917189,2.7,2.4000001,2.2249999
200506,London,01-06-2005,2005-06-01,2005,6,2.4190626,2.6750002,2.45,2.1849999
200606,London,01-06-2006,2006-06-01,2006,6,2.5126088,2.8,2.55,2.25
200706,London,01-06-2007,2007-06-01,2007,6,2.5838807,2.8499999,2.5999999,2.4000001
200806,London,01-06-2008,2008-06-01,2008,6,2.7285295,3,2.7550001,2.5
200906,London,01-06-2009,2009-06-01,2009,6,2.755147,3.0250001,2.8,2.3900001
201006,London,01-06-2010,2010-06-01,2010,6,2.9251471,3.2750001,2.9250002,2.5999999
201106,London,01-06-2011,2011-06-01,2011,6,3.0869696,3.5,3.0999999,2.75
201206,London,01-06-2012,2012-06-01,2012,6,3.1982608,3.5999999,3.2,2.9000001
201306,London,01-06-2013,2013-06-01,2013,6,3.2755556,3.8,3.3,2.9400001
201406,London,01-06-2014,2014-06-01,2014,6,3.3678722,3.9000001,3.5999999,2.9400001
201506,London,01-06-2015,2015-06-01,2015,6,3.5341666,4.0749998,3.7,3.0500002
201606,London,01-06-2016,2016-06-01,2016,6,3.5397959,4.0500002,3.7,3.0899999
201706,London,01-06-2017,2017-06-01,2017,6,3.7126,4.3499999,3.7249999,3.0899999
201806,London,01-06-2018,2018-06-01,2018,6,3.8523529,4.6999998,3.8499999,3.1900001
201906,London,01-06-2019,2019-06-01,2019,6,4.0115385,4.7750001,3.9000001,3.4749999
202106,London,01-06-2021,2021-06-01,2021,6,4.4585714,5,4.8000002,4.0999999
202206,London,01-06-2022,2022-06-01,2022,6,4.6283336,5.3500004,4.75,4.0250001
200306,North,01-06-2003,2003-06-01,2003,6,2.0085714,2.1500001,2.03,1.9
200406,North,01-06-2004,2004-06-01,2004,6,2.0599999,2.2,2.0999999,2
200506,North,01-06-2005,2005-06-01,2005,6,2.0817392,2.2,2.1500001,2
200606,North,01-06-2006,2006-06-01,2006,6,2.2040908,2.3,2.25,2.1500001
