quote_date,regionDesc,p_mean,p_75,p_median,p_25
202210,East Anglia,3.9220588,4.6999998,4.0500002,3.1500001
202210,East Midlands,3.6855555,4.1999998,3.8,3.1900001
202210,London,4.7462745,5.4499998,4.9899998,4.1500001
202210,North,3.404706,4.0999999,3.2,2.79
202210,North West,3.5292308,4.3000002,3.5,2.6900001
202210,Northern Ireland,4.7466669,4.9000001,4.6500001,4.4000001
202210,Scotland,3.6912501,4.1499996,3.7,3.4000001
202210,South East,4.1707273,4.9499998,4.5,3.3499999
202210,South West,3.9153125,4.4499998,4.125,3.6199999
202210,Wales,3.53,4,3.4000001,3.0999999
202210,West Midlands,3.5868964,3.9000001,3.5999999,3.2
202210,Yorkshire & Humber,3.447742,4.0999999,3.75,2.6900001
