quote_date,regionDesc,p_mean,p_75,p_median,p_25
200302,East Anglia,2.1545947,2.25,2.2,2.0999999
200303,East Anglia,2.2086487,2.3,2.2,2.0999999
200304,East Anglia,2.2330952,2.3,2.22,2.1500001
200305,East Anglia,2.2302439,2.3,2.25,2.1500001
200306,East Anglia,2.2460001,2.3,2.25,2.1500001
200307,East Anglia,2.2439024,2.3499999,2.25,2.1500001
200308,East Anglia,2.2413952,2.3499999,2.25,2.1500001
200309,East Anglia,2.2425001,2.3499999,2.25,2.1500001
200310,East Anglia,2.2609091,2.3599999,2.29,2.1500001
200311,East Anglia,2.2493024,2.3499999,2.28,2.1500001
200312,East Anglia,2.2552273,2.3499999,2.2649999,2.2
200401,East Anglia,2.2623255,2.3499999,2.3,2.2
200402,East Anglia,2.245909,2.3499999,2.29,2.2
200403,East Anglia,2.2736363,2.4000001,2.3,2.2
200404,East Anglia,2.2987804,2.4000001,2.3,2.2
200405,East Anglia,2.307111,2.4000001,2.3,2.2
200406,East Anglia,2.2766666,2.4000001,2.3,2.2
200407,East Anglia,2.2723405,2.4000001,2.3,2.2
200408,East Anglia,2.2754166,2.4000001,2.3,2.2
200409,East Anglia,2.2705882,2.4000001,2.3,2.2
200410,East Anglia,2.2836735,2.4000001,2.3,2.2
200411,East Anglia,2.2551999,2.4000001,2.3,2.2
200412,East Anglia,2.2572,2.4000001,2.3,2.2
200501,East Anglia,2.267755,2.4000001,2.3,2.2
200502,East Anglia,2.3016667,2.4749999,2.3,2.25
200503,East Anglia,2.3323405,2.5,2.3,2.25
200504,East Anglia,2.3848937,2.5,2.3499999,2.3
200505,East Anglia,2.2912195,2.4000001,2.3,2.25
200506,East Anglia,2.4068,2.5,2.4000001,2.3
200507,East Anglia,2.4028571,2.5,2.4000001,2.3
200508,East Anglia,2.4019148,2.55,2.3900001,2.3
200509,East Anglia,2.3845651,2.55,2.3699999,2.3
200510,East Anglia,2.3880851,2.55,2.3900001,2.3
200511,East Anglia,2.387234,2.5,2.3900001,2.3
200512,East Anglia,2.3931112,2.5,2.4000001,2.3
200601,East Anglia,2.3866668,2.5250001,2.395,2.3
200602,East Anglia,2.4032609,2.55,2.4000001,2.3
200603,East Anglia,2.4241304,2.55,2.45,2.3299999
200604,East Anglia,2.4542222,2.5999999,2.5,2.3499999
200605,East Anglia,2.4669566,2.6500001,2.5,2.3499999
200606,East Anglia,2.4723914,2.6500001,2.5,2.3499999
200607,East Anglia,2.471915,2.6500001,2.5,2.3499999
200608,East Anglia,2.4516666,2.5999999,2.5,2.3499999
200609,East Anglia,2.4495745,2.5999999,2.5,2.3499999
200610,East Anglia,2.437551,2.5999999,2.5,2.3499999
200611,East Anglia,2.4441304,2.6500001,2.5,2.3499999
200612,East Anglia,2.4464583,2.5999999,2.5,2.4000001
200701,East Anglia,2.4587755,2.6500001,2.5,2.4000001
200702,East Anglia,2.4665999,2.6500001,2.5,2.4000001
200703,East Anglia,2.4974999,2.6500001,2.5250001,2.4000001
200704,East Anglia,2.5171428,2.7,2.55,2.4000001
200705,East Anglia,2.5308001,2.75,2.5749998,2.4000001
200706,East Anglia,2.5370588,2.75,2.5999999,2.4000001
200707,East Anglia,2.5462744,2.75,2.5999999,2.4000001
200708,East Anglia,2.5387235,2.75,2.5999999,2.4000001
200709,East Anglia,2.5440426,2.75,2.5999999,2.4000001
200710,East Anglia,2.5636735,2.8,2.5999999,2.4000001
200711,East Anglia,2.5716326,2.8,2.5999999,2.45
200712,East Anglia,2.577347,2.8,2.6500001,2.45
200801,East Anglia,2.5783672,2.8,2.6500001,2.45
200802,East Anglia,2.5925,2.8,2.6500001,2.4250002
200803,East Anglia,2.6220407,2.9000001,2.7,2.45
200804,East Anglia,2.6846809,2.95,2.75,2.55
200805,East Anglia,2.6852174,2.95,2.8,2.55
200806,East Anglia,2.6972728,2.95,2.8,2.5749998
200807,East Anglia,2.6891668,2.95,2.8,2.5250001
200808,East Anglia,2.6889362,2.95,2.8,2.45
200809,East Anglia,2.7129788,2.95,2.8,2.5999999
200810,East Anglia,2.6914287,2.95,2.8,2.55
200811,East Anglia,2.677551,2.95,2.8,2.5
200812,East Anglia,2.684,2.95,2.8,2.5
200901,East Anglia,2.693125,2.95,2.8,2.45
200902,East Anglia,2.7293878,2.95,2.8499999,2.55
200903,East Anglia,2.7564001,3,2.8499999,2.55
200904,East Anglia,2.7618368,2.95,2.8499999,2.6500001
200905,East Anglia,2.7924001,3,2.875,2.6500001
200906,East Anglia,2.8034694,3,2.8499999,2.6600001
200907,East Anglia,2.8238776,3,2.9000001,2.6600001
200908,East Anglia,2.8174,3,2.9050002,2.6500001
200909,East Anglia,2.7915685,3,2.8499999,2.55
200910,East Anglia,2.8125999,3,2.9000001,2.6500001
200911,East Anglia,2.8069389,3,2.9000001,2.5999999
200912,East Anglia,2.8080392,3,2.9000001,2.6500001
201001,East Anglia,2.7974,3.05,2.9349999,2.6400001
201002,East Anglia,2.8591838,3.0999999,2.95,2.7
201003,East Anglia,2.8689361,3.0999999,2.95,2.6400001
201004,East Anglia,2.8788462,3.0999999,3,2.6849999
201005,East Anglia,2.8978431,3.0999999,3,2.7
201006,East Anglia,2.8923078,3.0999999,3,2.7
201007,East Anglia,2.8961539,3.0999999,3,2.7
201008,East Anglia,2.9277084,3.0999999,3.01,2.75
201009,East Anglia,2.9001923,3.0999999,3,2.7249999
201010,East Anglia,2.9011765,3.0999999,3,2.7
201011,East Anglia,2.8971429,3.0999999,3,2.7
201012,East Anglia,2.9101961,3.2,3,2.7
201101,East Anglia,3.002353,3.2,3.0999999,2.8
201102,East Anglia,3.012157,3.3,3.0999999,2.75
201103,East Anglia,3.0037999,3.3,3.0999999,2.75
201104,East Anglia,3.075294,3.3,3.1500001,2.8
201105,East Anglia,3.0711999,3.3499999,3.1750002,2.8
201106,East Anglia,3.0592,3.3499999,3.125,2.8
201107,East Anglia,3.0675511,3.3499999,3.2,2.8
201108,East Anglia,3.079375,3.4000001,3.2,2.8
201109,East Anglia,3.0883999,3.4000001,3.2,2.8499999
201110,East Anglia,3.0718367,3.4000001,3.2,2.8499999
201111,East Anglia,3.1042857,3.4000001,3.2,2.8499999
201112,East Anglia,3.0838461,3.4000001,3.2,2.8249998
201201,East Anglia,3.0703845,3.4000001,3.2,2.7950001
201202,East Anglia,3.0939217,3.4000001,3.0999999,2.8499999
201203,East Anglia,3.117451,3.4000001,3.2,2.8499999
201204,East Anglia,3.1334,3.5,3.2,2.8499999
201205,East Anglia,3.1534693,3.5,3.3,2.9000001
201206,East Anglia,3.1322,3.5,3.25,2.8499999
201207,East Anglia,3.1345098,3.5,3.2,2.8499999
201208,East Anglia,3.1286275,3.5,3.2,2.9000001
201209,East Anglia,3.1443138,3.5,3.2,2.95
201210,East Anglia,3.1788235,3.5,3.3,2.95
201211,East Anglia,3.1609805,3.5,3.3,2.95
201212,East Anglia,3.1639216,3.5,3.3,2.95
201301,East Anglia,3.1737256,3.5,3.3,2.95
201302,East Anglia,3.1830611,3.5,3.2,2.95
201303,East Anglia,3.2139583,3.5250001,3.3,2.95
201304,East Anglia,3.2180393,3.55,3.3,2.9400001
201305,East Anglia,3.2390001,3.5999999,3.3,2.99
201306,East Anglia,3.227,3.55,3.3,2.99
201307,East Anglia,3.2659574,3.5999999,3.3,3
201308,East Anglia,3.2351999,3.55,3.3,2.99
201309,East Anglia,3.2377083,3.5749998,3.3,3
201310,East Anglia,3.2365305,3.55,3.3,3
201311,East Anglia,3.2344897,3.55,3.3,3
201312,East Anglia,3.2467346,3.5999999,3.3,3.04
201401,East Anglia,3.2579591,3.5999999,3.3,3.04
201402,East Anglia,3.2256756,3.5999999,3.24,3.04
201403,East Anglia,3.2486112,3.5999999,3.2449999,3.04
201404,East Anglia,3.2756758,3.6500001,3.24,3.04
201405,East Anglia,3.283421,3.5999999,3.27,3.0899999
201406,East Anglia,3.2965789,3.7,3.2950001,3.0899999
201407,East Anglia,3.2947369,3.7,3.3,3.0899999
201408,East Anglia,3.311795,3.7,3.3499999,3.0899999
201409,East Anglia,3.3092308,3.7,3.3499999,3.0899999
201410,East Anglia,3.2928948,3.7,3.3249998,3.0899999
201411,East Anglia,3.2997143,3.7,3.3499999,3.0899999
201412,East Anglia,3.2797143,3.7,3.3499999,3.0899999
201501,East Anglia,3.3033333,3.7,3.375,3.125
201502,East Anglia,3.365,3.7750001,3.4000001,3.1500001
201503,East Anglia,3.3927779,3.7750001,3.4000001,3.1950002
201504,East Anglia,3.3863158,3.8,3.4250002,3.1900001
201505,East Anglia,3.3545947,3.75,3.4000001,3.1500001
201506,East Anglia,3.3548648,3.75,3.4000001,3.1500001
201507,East Anglia,3.3705263,3.8,3.4000001,3.1500001
